band_type,pellet_type,trial_num,mass_gn,calc_mass_g,velocity_mps,draw_length_m,slack_length_m,draw_weight_kg,calc_draw_force_N,note
band_A,12 mm steel,1,108.2,7.011,26.5,0.800,0.268,1.08,10.591182,
band_A,12 mm steel,2,108.2,7.011,26.6,0.800,0.268,1.08,10.591182,
band_A,12 mm steel,3,108.2,7.011,26.4,0.800,0.268,1.08,10.591182,
band_A,12 mm steel,4,108.2,7.011,26.3,0.800,0.268,1.08,10.591182,
band_A,12 mm steel,5,108.2,7.011,26.3,0.800,0.268,1.08,10.591182,
band_A,12 mm steel,6,108.2,7.011,26.2,0.800,0.268,1.08,10.591182,
band_A,12 mm steel,7,108.2,7.011,26.3,0.800,0.268,1.08,10.591182,
band_A,12 mm steel,8,108.2,7.011,26.3,0.800,0.268,1.08,10.591182,
band_A,12 mm steel,9,108.2,7.011,26.2,0.800,0.268,1.08,10.591182,
band_A,12 mm steel,10,108.2,7.011,26.2,0.800,0.268,1.08,10.591182,
band_A,12 mm steel,11,108.2,7.011,26.3,0.800,0.268,1.08,10.591182,
band_A,12 mm steel,12,108.2,7.011,26.3,0.800,0.268,1.08,10.591182,
band_A,12 mm steel,13,108.2,7.011,26.3,0.800,0.268,1.08,10.591182,
band_A,12 mm steel,14,108.2,7.011,26.3,0.800,0.268,1.08,10.591182,
band_A,12 mm steel,15,108.2,7.011,26.2,0.800,0.268,1.08,10.591182,
band_A,12 mm steel,16,108.2,7.011,26.2,0.800,0.268,1.08,10.591182,
band_A,12 mm steel,17,108.2,7.011,26.4,0.800,0.268,1.08,10.591182,
band_A,12 mm steel,18,108.2,7.011,26.4,0.800,0.268,1.08,10.591182,
band_A,12 mm steel,19,108.2,7.011,26.2,0.800,0.268,1.08,10.591182,
band_A,12 mm steel,20,108.2,7.011,26.2,0.800,0.268,1.08,10.591182,
band_A,11 mm steel,1,83.6,5.417,29.4,0.800,0.268,1.08,10.591182,
band_A,11 mm steel,2,83.6,5.417,29.4,0.800,0.268,1.08,10.591182,
band_A,11 mm steel,3,83.8,5.430,29.5,0.800,0.268,1.08,10.591182,
band_A,11 mm steel,4,83.8,5.430,29.4,0.800,0.268,1.08,10.591182,
band_A,11 mm steel,5,83.6,5.417,29.3,0.800,0.268,1.08,10.591182,
band_A,11 mm steel,6,83.8,5.430,29.3,0.800,0.268,1.08,10.591182,
band_A,11 mm steel,7,83.6,5.417,29.3,0.800,0.268,1.08,10.591182,
band_A,11 mm steel,8,83.8,5.430,29.3,0.800,0.268,1.08,10.591182,
band_A,11 mm steel,9,83.6,5.417,29.3,0.800,0.268,1.08,10.591182,
band_A,11 mm steel,10,83.6,5.417,29.3,0.800,0.268,1.08,10.591182,
band_A,11 mm steel,11,83.6,5.417,29.5,0.800,0.268,1.08,10.591182,
band_A,11 mm steel,12,83.6,5.417,29.5,0.800,0.268,1.08,10.591182,
band_A,11 mm steel,13,83.6,5.417,29.4,0.800,0.268,1.08,10.591182,
band_A,11 mm steel,14,83.6,5.417,29.3,0.800,0.268,1.08,10.591182,
band_A,11 mm steel,15,83.8,5.430,29.3,0.800,0.268,1.08,10.591182,
band_A,11 mm steel,16,83.6,5.417,29.3,0.800,0.268,1.08,10.591182,
band_A,11 mm steel,17,83.8,5.430,29.3,0.800,0.268,1.08,10.591182,
band_A,11 mm steel,18,83.8,5.430,29.2,0.800,0.268,1.08,10.591182,
band_A,11 mm steel,19,83.6,5.417,29.3,0.800,0.268,1.08,10.591182,
band_A,11 mm steel,20,83.8,5.430,29.3,0.800,0.268,1.08,10.591182,
band_A,10 mm steel,1,63.0,4.082,33.0,0.800,0.268,1.08,10.591182,
band_A,10 mm steel,2,63.1,4.089,32.9,0.800,0.268,1.08,10.591182,
band_A,10 mm steel,3,63.1,4.089,32.8,0.800,0.268,1.08,10.591182,
band_A,10 mm steel,4,63.0,4.082,32.9,0.800,0.268,1.08,10.591182,
band_A,10 mm steel,5,63.0,4.082,32.9,0.800,0.268,1.08,10.591182,
band_A,10 mm steel,6,63.0,4.082,32.9,0.800,0.268,1.08,10.591182,
band_A,10 mm steel,7,63.1,4.089,32.9,0.800,0.268,1.08,10.591182,
band_A,10 mm steel,8,63.1,4.089,32.9,0.800,0.268,1.08,10.591182,
band_A,10 mm steel,9,63.1,4.089,32.8,0.800,0.268,1.08,10.591182,
band_A,10 mm steel,10,63.1,4.089,32.8,0.800,0.268,1.08,10.591182,
band_A,10 mm steel,11,63.0,4.082,32.8,0.800,0.268,1.08,10.591182,
band_A,10 mm steel,12,63.0,4.082,32.9,0.800,0.268,1.08,10.591182,
band_A,10 mm steel,13,63.1,4.089,32.8,0.800,0.268,1.08,10.591182,
band_A,10 mm steel,14,63.1,4.089,32.8,0.800,0.268,1.08,10.591182,
band_A,10 mm steel,15,63.1,4.089,32.8,0.800,0.268,1.08,10.591182,
band_A,10 mm steel,16,63.1,4.089,32.8,0.800,0.268,1.08,10.591182,
band_A,10 mm steel,17,63.1,4.089,32.8,0.800,0.268,1.08,10.591182,
band_A,10 mm steel,18,63.1,4.089,32.8,0.800,0.268,1.08,10.591182,
band_A,10 mm steel,19,63.0,4.082,32.8,0.800,0.268,1.08,10.591182,
band_A,10 mm steel,20,63.1,4.089,32.8,0.800,0.268,1.08,10.591182,
band_A,"3/8"" steel",1,54.6,3.538,34.6,0.800,0.268,1.08,10.591182,
band_A,"3/8"" steel",2,54.5,3.532,34.5,0.800,0.268,1.08,10.591182,
band_A,"3/8"" steel",3,54.6,3.538,34.6,0.800,0.268,1.08,10.591182,
band_A,"3/8"" steel",4,54.6,3.538,34.5,0.800,0.268,1.08,10.591182,
band_A,"3/8"" steel",5,54.8,3.551,34.6,0.800,0.268,1.08,10.591182,
band_A,"3/8"" steel",6,54.3,3.519,34.7,0.800,0.268,1.08,10.591182,
band_A,"3/8"" steel",7,54.5,3.532,34.5,0.800,0.268,1.08,10.591182,
band_A,"3/8"" steel",8,55.1,3.570,34.4,0.800,0.268,1.08,10.591182,
band_A,"3/8"" steel",9,54.9,3.557,34.5,0.800,0.268,1.08,10.591182,
band_A,"3/8"" steel",10,54.9,3.557,34.7,0.800,0.268,1.08,10.591182,
band_A,"3/8"" steel",11,54.5,3.532,34.7,0.800,0.268,1.08,10.591182,
band_A,"3/8"" steel",12,54.9,3.557,34.5,0.800,0.268,1.08,10.591182,
band_A,"3/8"" steel",13,54.6,3.538,34.6,0.800,0.268,1.08,10.591182,
band_A,"3/8"" steel",14,54.8,3.551,34.5,0.800,0.268,1.08,10.591182,
band_A,"3/8"" steel",15,55.1,3.570,34.5,0.800,0.268,1.08,10.591182,
band_A,"3/8"" steel",16,55.1,3.570,34.4,0.800,0.268,1.08,10.591182,
band_A,"3/8"" steel",17,55.1,3.570,34.6,0.800,0.268,1.08,10.591182,
band_A,"3/8"" steel",18,54.5,3.532,34.7,0.800,0.268,1.08,10.591182,
band_A,"3/8"" steel",19,54.5,3.532,34.6,0.800,0.268,1.08,10.591182,
band_A,"3/8"" steel",20,54.8,3.551,34.5,0.800,0.268,1.08,10.591182,
band_A,9 mm steel,1,46.5,3.013,36.9,0.800,0.268,1.08,10.591182,
band_A,9 mm steel,2,46.3,3.000,36.8,0.800,0.268,1.08,10.591182,
band_A,9 mm steel,3,46.1,2.987,36.8,0.800,0.268,1.08,10.591182,
band_A,9 mm steel,4,46.1,2.987,36.9,0.800,0.268,1.08,10.591182,
