band_type,pellet_type,trial_num,mass_gn,calc_mass_g,velocity_mps,draw_length_m,slack_length_m,draw_weight_kg,calc_draw_force_N,note,calc_momentum,calc_power_stroke_m,calc_PE,calc_KE,calc_efficiency
band_D,"1/2"" steel",1,129.0,8.359,41.4,0.8,0.273,4.09,40.1091985,,0.3460626,0.527,10.56877380475,7.16349582,0.6777981961143362
band_D,"1/2"" steel",2,129.2,8.372,41.4,0.8,0.273,4.09,40.1091985,,0.34660079999999993,0.527,10.56877380475,7.174636559999999,0.6788523146152915
band_D,"1/2"" steel",3,129.2,8.372,41.4,0.8,0.273,4.09,40.1091985,,0.34660079999999993,0.527,10.56877380475,7.174636559999999,0.6788523146152915
band_D,"1/2"" steel",4,129.0,8.359,41.3,0.8,0.273,4.09,40.1091985,,0.3452267,0.527,10.56877380475,7.128931355,0.6745277632676737
band_D,"1/2"" steel",5,129.2,8.372,41.0,0.8,0.273,4.09,40.1091985,,0.34325199999999995,0.527,10.56877380475,7.036665999999999,0.665797767082257
band_D,"1/2"" steel",6,128.9,8.353,41.2,0.8,0.273,4.09,40.1091985,,0.3441436,0.527,10.56877380475,7.089358160000001,0.6707834126238731
band_D,"1/2"" steel",7,129.2,8.372,41.2,0.8,0.273,4.09,40.1091985,,0.34492639999999997,0.527,10.56877380475,7.105483840000001,0.6723091979512829
band_D,"1/2"" steel",8,129.0,8.359,41.2,0.8,0.273,4.09,40.1091985,,0.34439080000000005,0.527,10.56877380475,7.094450480000002,0.671265239569371
band_D,"1/2"" steel",9,129.0,8.359,41.2,0.8,0.273,4.09,40.1091985,,0.34439080000000005,0.527,10.56877380475,7.094450480000002,0.671265239569371
band_D,"1/2"" steel",10,129.0,8.359,41.3,0.8,0.273,4.09,40.1091985,,0.3452267,0.527,10.56877380475,7.128931355,0.6745277632676737
band_D,"1/2"" steel",11,129.2,8.372,41.3,0.8,0.273,4.09,40.1091985,,0.34576359999999995,0.527,10.56877380475,7.140018339999998,0.6755767955589141
band_D,"1/2"" steel",12,129.2,8.372,41.1,0.8,0.273,4.09,40.1091985,,0.3440892,0.527,10.56877380475,7.0710330599999995,0.669049521792397
band_D,"1/2"" steel",13,129.2,8.372,41.3,0.8,0.273,4.09,40.1091985,,0.34576359999999995,0.527,10.56877380475,7.140018339999998,0.6755767955589141
band_D,"1/2"" steel",14,129.2,8.372,41.3,0.8,0.273,4.09,40.1091985,,0.34576359999999995,0.527,10.56877380475,7.140018339999998,0.6755767955589141
band_D,"1/2"" steel",15,129.2,8.372,41.2,0.8,0.273,4.09,40.1091985,,0.34492639999999997,0.527,10.56877380475,7.105483840000001,0.6723091979512829
band_D,"1/2"" steel",16,129.0,8.359,41.3,0.8,0.273,4.09,40.1091985,,0.3452267,0.527,10.56877380475,7.128931355,0.6745277632676737
band_D,"1/2"" steel",17,129.2,8.372,41.3,0.8,0.273,4.09,40.1091985,,0.34576359999999995,0.527,10.56877380475,7.140018339999998,0.6755767955589141
band_D,"1/2"" steel",18,129.0,8.359,41.2,0.8,0.273,4.09,40.1091985,,0.34439080000000005,0.527,10.56877380475,7.094450480000002,0.671265239569371
band_D,"1/2"" steel",19,129.2,8.372,41.3,0.8,0.273,4.09,40.1091985,,0.34576359999999995,0.527,10.56877380475,7.140018339999998,0.6755767955589141
band_D,"1/2"" steel",20,129.2,8.372,41.3,0.8,0.273,4.09,40.1091985,,0.34576359999999995,0.527,10.56877380475,7.140018339999998,0.6755767955589141
band_D,12 mm steel,1,108.2,7.011,43.3,0.8,0.273,4.09,40.1091985,,0.30357629999999997,0.527,10.56877380475,6.572426894999999,0.6218722262790888
band_D,12 mm steel,2,108.2,7.011,43.3,0.8,0.273,4.09,40.1091985,,0.30357629999999997,0.527,10.56877380475,6.572426894999999,0.6218722262790888
band_D,12 mm steel,3,108.2,7.011,43.4,0.8,0.273,4.09,40.1091985,,0.3042774,0.527,10.56877380475,6.602819579999999,0.6247479321614818
band_D,12 mm steel,4,108.2,7.011,43.4,0.8,0.273,4.09,40.1091985,,0.3042774,0.527,10.56877380475,6.602819579999999,0.6247479321614818
band_D,12 mm steel,5,108.2,7.011,43.4,0.8,0.273,4.09,40.1091985,,0.3042774,0.527,10.56877380475,6.602819579999999,0.6247479321614818
band_D,12 mm steel,6,108.2,7.011,43.5,0.8,0.273,4.09,40.1091985,,0.3049785,0.527,10.56877380475,6.633282375,0.6276302717367985
band_D,12 mm steel,7,108.2,7.011,43.4,0.8,0.273,4.09,40.1091985,,0.3042774,0.527,10.56877380475,6.602819579999999,0.6247479321614818
band_D,12 mm steel,8,108.2,7.011,43.3,0.8,0.273,4.09,40.1091985,,0.30357629999999997,0.527,10.56877380475,6.572426894999999,0.6218722262790888
band_D,12 mm steel,9,108.2,7.011,43.3,0.8,0.273,4.09,40.1091985,,0.30357629999999997,0.527,10.56877380475,6.572426894999999,0.6218722262790888
band_D,12 mm steel,10,108.2,7.011,43.4,0.8,0.273,4.09,40.1091985,,0.3042774,0.527,10.56877380475,6.602819579999999,0.6247479321614818
band_D,12 mm steel,11,108.2,7.011,43.6,0.8,0.273,4.09,40.1091985,,0.3056796,0.527,10.56877380475,6.66381528,0.6305192450050386
band_D,12 mm steel,12,108.2,7.011,43.4,0.8,0.273,4.09,40.1091985,,0.3042774,0.527,10.56877380475,6.602819579999999,0.6247479321614818
band_D,12 mm steel,13,108.2,7.011,43.4,0.8,0.273,4.09,40.1091985,,0.3042774,0.527,10.56877380475,6.602819579999999,0.6247479321614818
band_D,12 mm steel,14,108.2,7.011,43.4,0.8,0.273,4.09,40.1091985,,0.3042774,0.527,10.56877380475,6.602819579999999,0.6247479321614818
band_D,12 mm steel,15,108.2,7.011,43.2,0.8,0.273,4.09,40.1091985,,0.3028752,0.527,10.56877380475,6.542104320000001,0.6190031540896197
band_D,12 mm steel,16,108.2,7.011,43.5,0.8,0.273,4.09,40.1091985,,0.3049785,0.527,10.56877380475,6.633282375,0.6276302717367985
band_D,12 mm steel,17,108.2,7.011,43.5,0.8,0.273,4.09,40.1091985,,0.3049785,0.527,10.56877380475,6.633282375,0.6276302717367985
band_D,12 mm steel,18,108.2,7.011,43.2,0.8,0.273,4.09,40.1091985,,0.3028752,0.527,10.56877380475,6.542104320000001,0.6190031540896197
band_D,12 mm steel,19,108.2,7.011,43.3,0.8,0.273,4.09,40.1091985,,0.30357629999999997,0.527,10.56877380475,6.572426894999999,0.6218722262790888
