band_type,pellet_type,trial_num,mass_gn,calc_mass_g,velocity_mps,draw_length_m,slack_length_m,draw_weight_kg,calc_draw_force_N,note,calc_momentum,calc_power_stroke_m,calc_PE,calc_KE,calc_efficiency
band_A,12 mm steel,1,108.2,7.011,26.5,0.8,0.268,1.08,10.591182,,0.1857915,0.532,2.817254412,2.461737375,0.8738072658664807
band_A,12 mm steel,2,108.2,7.011,26.6,0.8,0.268,1.08,10.591182,,0.1864926,0.532,2.817254412,2.4803515800000002,0.8804144806500351
band_A,12 mm steel,3,108.2,7.011,26.4,0.8,0.268,1.08,10.591182,,0.1850904,0.532,2.817254412,2.4431932799999996,0.8672249370143145
band_A,12 mm steel,4,108.2,7.011,26.3,0.8,0.268,1.08,10.591182,,0.1843893,0.532,2.817254412,2.424719295,0.8606674940935366
band_A,12 mm steel,5,108.2,7.011,26.3,0.8,0.268,1.08,10.591182,,0.1843893,0.532,2.817254412,2.424719295,0.8606674940935366
band_A,12 mm steel,6,108.2,7.011,26.2,0.8,0.268,1.08,10.591182,,0.1836882,0.532,2.817254412,2.40631542,0.8541349371041467
band_A,12 mm steel,7,108.2,7.011,26.3,0.8,0.268,1.08,10.591182,,0.1843893,0.532,2.817254412,2.424719295,0.8606674940935366
band_A,12 mm steel,8,108.2,7.011,26.3,0.8,0.268,1.08,10.591182,,0.1843893,0.532,2.817254412,2.424719295,0.8606674940935366
band_A,12 mm steel,9,108.2,7.011,26.2,0.8,0.268,1.08,10.591182,,0.1836882,0.532,2.817254412,2.40631542,0.8541349371041467
band_A,12 mm steel,10,108.2,7.011,26.2,0.8,0.268,1.08,10.591182,,0.1836882,0.532,2.817254412,2.40631542,0.8541349371041467
band_A,12 mm steel,11,108.2,7.011,26.3,0.8,0.268,1.08,10.591182,,0.1843893,0.532,2.817254412,2.424719295,0.8606674940935366
band_A,12 mm steel,12,108.2,7.011,26.3,0.8,0.268,1.08,10.591182,,0.1843893,0.532,2.817254412,2.424719295,0.8606674940935366
band_A,12 mm steel,13,108.2,7.011,26.3,0.8,0.268,1.08,10.591182,,0.1843893,0.532,2.817254412,2.424719295,0.8606674940935366
band_A,12 mm steel,14,108.2,7.011,26.3,0.8,0.268,1.08,10.591182,,0.1843893,0.532,2.817254412,2.424719295,0.8606674940935366
band_A,12 mm steel,15,108.2,7.011,26.2,0.8,0.268,1.08,10.591182,,0.1836882,0.532,2.817254412,2.40631542,0.8541349371041467
band_A,12 mm steel,16,108.2,7.011,26.2,0.8,0.268,1.08,10.591182,,0.1836882,0.532,2.817254412,2.40631542,0.8541349371041467
band_A,12 mm steel,17,108.2,7.011,26.4,0.8,0.268,1.08,10.591182,,0.1850904,0.532,2.817254412,2.4431932799999996,0.8672249370143145
band_A,12 mm steel,18,108.2,7.011,26.4,0.8,0.268,1.08,10.591182,,0.1850904,0.532,2.817254412,2.4431932799999996,0.8672249370143145
band_A,12 mm steel,19,108.2,7.011,26.2,0.8,0.268,1.08,10.591182,,0.1836882,0.532,2.817254412,2.40631542,0.8541349371041467
band_A,12 mm steel,20,108.2,7.011,26.2,0.8,0.268,1.08,10.591182,,0.1836882,0.532,2.817254412,2.40631542,0.8541349371041467
band_B,12 mm steel,1,108.2,7.011,36.2,0.8,0.267,2.1,20.593965,,0.25379820000000003,0.533,5.488291672500001,4.593747420000001,0.8370086165459713
band_B,12 mm steel,2,108.2,7.011,36.5,0.8,0.267,2.1,20.593965,,0.2559015,0.533,5.488291672500001,4.670202375,0.8509391726392433
band_B,12 mm steel,3,108.2,7.011,36.6,0.8,0.267,2.1,20.593965,,0.2566026,0.533,5.488291672500001,4.6958275800000004,0.8556082402706887
band_B,12 mm steel,4,108.2,7.011,36.5,0.8,0.267,2.1,20.593965,,0.2559015,0.533,5.488291672500001,4.670202375,0.8509391726392433
band_B,12 mm steel,5,108.2,7.011,36.6,0.8,0.267,2.1,20.593965,,0.2566026,0.533,5.488291672500001,4.6958275800000004,0.8556082402706887
band_B,12 mm steel,6,108.2,7.011,36.6,0.8,0.267,2.1,20.593965,,0.2566026,0.533,5.488291672500001,4.6958275800000004,0.8556082402706887
band_B,12 mm steel,7,108.2,7.011,36.5,0.8,0.267,2.1,20.593965,,0.2559015,0.533,5.488291672500001,4.670202375,0.8509391726392433
band_B,12 mm steel,8,108.2,7.011,36.4,0.8,0.267,2.1,20.593965,,0.2552004,0.533,5.488291672500001,4.644647279999999,0.846282879474642
band_B,12 mm steel,9,108.2,7.011,36.6,0.8,0.267,2.1,20.593965,,0.2566026,0.533,5.488291672500001,4.6958275800000004,0.8556082402706887
band_B,12 mm steel,10,108.2,7.011,36.5,0.8,0.267,2.1,20.593965,,0.2559015,0.533,5.488291672500001,4.670202375,0.8509391726392433
band_B,12 mm steel,11,108.2,7.011,36.5,0.8,0.267,2.1,20.593965,,0.2559015,0.533,5.488291672500001,4.670202375,0.8509391726392433
band_B,12 mm steel,12,108.2,7.011,36.5,0.8,0.267,2.1,20.593965,,0.2559015,0.533,5.488291672500001,4.670202375,0.8509391726392433
band_B,12 mm steel,13,108.2,7.011,36.2,0.8,0.267,2.1,20.593965,,0.25379820000000003,0.533,5.488291672500001,4.593747420000001,0.8370086165459713
band_B,12 mm steel,14,108.2,7.011,36.3,0.8,0.267,2.1,20.593965,,0.2544993,0.533,5.488291672500001,4.619162295,0.8416393607768846
band_B,12 mm steel,15,108.2,7.011,36.4,0.8,0.267,2.1,20.593965,,0.2552004,0.533,5.488291672500001,4.644647279999999,0.846282879474642
band_B,12 mm steel,16,108.2,7.011,36.5,0.8,0.267,2.1,20.593965,,0.2559015,0.533,5.488291672500001,4.670202375,0.8509391726392433
band_B,12 mm steel,17,108.2,7.011,36.5,0.8,0.267,2.1,20.593965,,0.2559015,0.533,5.488291672500001,4.670202375,0.8509391726392433
band_B,12 mm steel,18,108.2,7.011,36.5,0.8,0.267,2.1,20.593965,,0.2559015,0.533,5.488291672500001,4.670202375,0.8509391726392433
band_B,12 mm steel,19,108.2,7.011,36.4,0.8,0.267,2.1,20.593965,,0.2552004,0.533,5.488291672500001,4.644647279999999,0.846282879474642
band_B,12 mm steel,20,108.2,7.011,36.5,0.8,0.267,2.1,20.593965,,0.2559015,0.533,5.488291672500001,4.670202375,0.8509391726392433
band_C,12 mm steel,1,108.2,7.011,39.2,0.8,0.268,2.41,23.6340265,,0.2748312,0.532,6.2866510490000005,5.386691520000001,0.8568459547085641
band_C,12 mm steel,2,108.2,7.011,39.4,0.8,0.268,2.41,23.6340265,,0.27623339999999996,0.532,6.2866510490000005,5.44179798,0.8656115851802544
band_C,12 mm steel,3,108.2,7.011,39.2,0.8,0.268,2.41,23.6340265,,0.2748312,0.532,6.2866510490000005,5.386691520000001,0.8568459547085641
band_C,12 mm steel,4,108.2,7.011,39.0,0.8,0.268,2.41,23.6340265,,0.273429,0.532,6.2866510490000005,5.3318655,0.848124933043345
band_C,12 mm steel,5,108.2,7.011,39.1,0.8,0.268,2.41,23.6340265,,0.2741301,0.532,6.2866510490000005,5.3592434550000005,0.8524798677751455
band_C,12 mm steel,6,108.2,7.011,39.3,0.8,0.268,2.41,23.6340265,,0.27553229999999995,0.532,6.2866510490000005,5.414209694999999,0.8612231938436001
band_C,12 mm steel,7,108.2,7.011,39.3,0.8,0.268,2.41,23.6340265,,0.27553229999999995,0.532,6.2866510490000005,5.414209694999999,0.8612231938436001
band_C,12 mm steel,8,108.2,7.011,39.1,0.8,0.268,2.41,23.6340265,,0.2741301,0.532,6.2866510490000005,5.3592434550000005,0.8524798677751455
band_C,12 mm steel,9,108.2,7.011,39.3,0.8,0.268,2.41,23.6340265,,0.27553229999999995,0.532,6.2866510490000005,5.414209694999999,0.8612231938436001
band_C,12 mm steel,10,108.2,7.011,39.1,0.8,0.268,2.41,23.6340265,,0.2741301,0.532,6.2866510490000005,5.3592434550000005,0.8524798677751455
band_C,12 mm steel,11,108.2,7.011,39.4,0.8,0.268,2.41,23.6340265,,0.27623339999999996,0.532,6.2866510490000005,5.44179798,0.8656115851802544
