band_type,pellet_type,trial_num,mass_gn,calc_mass_g,velocity_mps,draw_length_m,slack_length_m,draw_weight_kg,calc_draw_force_N,note,calc_momentum,calc_power_stroke_m,calc_PE,calc_KE,calc_efficiency
band_A,"3/8"" steel",1,54.6,3.538,34.6,0.8,0.268,1.08,10.591182,,0.1224148,0.532,2.817254412,2.1177760400000003,0.7517162919257149
band_A,"3/8"" steel",2,54.5,3.532,34.5,0.8,0.268,1.08,10.591182,,0.121854,0.532,2.817254412,2.1019815,0.7461099327936734
band_A,"3/8"" steel",3,54.6,3.538,34.6,0.8,0.268,1.08,10.591182,,0.1224148,0.532,2.817254412,2.1177760400000003,0.7517162919257149
band_A,"3/8"" steel",4,54.6,3.538,34.5,0.8,0.268,1.08,10.591182,,0.122061,0.532,2.817254412,2.10555225,0.7473773902106503
band_A,"3/8"" steel",5,54.8,3.551,34.6,0.8,0.268,1.08,10.591182,,0.12286460000000002,0.532,2.817254412,2.12555758,0.7544783924896025
band_A,"3/8"" steel",6,54.3,3.519,34.7,0.8,0.268,1.08,10.591182,,0.1221093,0.532,2.817254412,2.118596355,0.7520074672617107
band_A,"3/8"" steel",7,54.5,3.532,34.5,0.8,0.268,1.08,10.591182,,0.121854,0.532,2.817254412,2.1019815,0.7461099327936734
band_A,"3/8"" steel",8,55.1,3.57,34.4,0.8,0.268,1.08,10.591182,,0.12280799999999999,0.532,2.817254412,2.1122975999999998,0.7497716894160285
band_A,"3/8"" steel",9,54.9,3.557,34.5,0.8,0.268,1.08,10.591182,,0.12271649999999999,0.532,2.817254412,2.116859625,0.7513910053644101
band_A,"3/8"" steel",10,54.9,3.557,34.7,0.8,0.268,1.08,10.591182,,0.12342790000000001,0.532,2.817254412,2.141474065,0.7601280366723231
band_A,"3/8"" steel",11,54.5,3.532,34.7,0.8,0.268,1.08,10.591182,,0.12256040000000001,0.532,2.817254412,2.1264229400000003,0.7547855567969203
band_A,"3/8"" steel",12,54.9,3.557,34.5,0.8,0.268,1.08,10.591182,,0.12271649999999999,0.532,2.817254412,2.116859625,0.7513910053644101
band_A,"3/8"" steel",13,54.6,3.538,34.6,0.8,0.268,1.08,10.591182,,0.1224148,0.532,2.817254412,2.1177760400000003,0.7517162919257149
band_A,"3/8"" steel",14,54.8,3.551,34.5,0.8,0.268,1.08,10.591182,,0.12250950000000001,0.532,2.817254412,2.1132888750000003,0.7501235479474334
band_A,"3/8"" steel",15,55.1,3.57,34.5,0.8,0.268,1.08,10.591182,,0.123165,0.532,2.817254412,2.1245962499999997,0.754137163101193
band_A,"3/8"" steel",16,55.1,3.57,34.4,0.8,0.268,1.08,10.591182,,0.12280799999999999,0.532,2.817254412,2.1122975999999998,0.7497716894160285
band_A,"3/8"" steel",17,55.1,3.57,34.6,0.8,0.268,1.08,10.591182,,0.12352199999999999,0.532,2.817254412,2.1369306,0.7585153086983611
band_A,"3/8"" steel",18,54.5,3.532,34.7,0.8,0.268,1.08,10.591182,,0.12256040000000001,0.532,2.817254412,2.1264229400000003,0.7547855567969203
band_A,"3/8"" steel",19,54.5,3.532,34.6,0.8,0.268,1.08,10.591182,,0.1222072,0.532,2.817254412,2.11418456,0.7504414762808436
band_A,"3/8"" steel",20,54.8,3.551,34.5,0.8,0.268,1.08,10.591182,,0.12250950000000001,0.532,2.817254412,2.1132888750000003,0.7501235479474334
band_B,"3/8"" steel",1,54.3,3.519,45.3,0.8,0.267,2.1,20.593965,,0.1594107,0.533,5.488291672500001,3.6106523549999996,0.6578827384651903
band_B,"3/8"" steel",2,54.3,3.519,45.4,0.8,0.267,2.1,20.593965,,0.1597626,0.533,5.488291672500001,3.62661102,0.660790503932533
band_B,"3/8"" steel",3,54.3,3.519,45.3,0.8,0.267,2.1,20.593965,,0.1594107,0.533,5.488291672500001,3.6106523549999996,0.6578827384651903
band_B,"3/8"" steel",4,54.8,3.551,45.3,0.8,0.267,2.1,20.593965,,0.1608603,0.533,5.488291672500001,3.6434857949999997,0.6638651901932057
band_B,"3/8"" steel",5,54.9,3.557,45.3,0.8,0.267,2.1,20.593965,,0.16113209999999997,0.533,5.488291672500001,3.649642064999999,0.6649868998922084
band_B,"3/8"" steel",6,54.5,3.532,45.3,0.8,0.267,2.1,20.593965,,0.1599996,0.533,5.488291672500001,3.623990939999999,0.6603131094796965
band_B,"3/8"" steel",7,54.5,3.532,45.2,0.8,0.267,2.1,20.593965,,0.15964640000000002,0.533,5.488291672500001,3.6080086400000004,0.6574010375721335
band_B,"3/8"" steel",8,54.2,3.512,45.3,0.8,0.267,2.1,20.593965,,0.15909359999999997,0.533,5.488291672500001,3.6034700399999995,0.6565740771496869
band_B,"3/8"" steel",9,54.8,3.551,45.2,0.8,0.267,2.1,20.593965,,0.16050520000000001,0.533,5.488291672500001,3.6274175200000007,0.660937453119662
band_B,"3/8"" steel",10,54.9,3.557,45.3,0.8,0.267,2.1,20.593965,,0.16113209999999997,0.533,5.488291672500001,3.649642064999999,0.6649868998922084
band_B,"3/8"" steel",11,54.8,3.551,45.3,0.8,0.267,2.1,20.593965,,0.1608603,0.533,5.488291672500001,3.6434857949999997,0.6638651901932057
band_B,"3/8"" steel",12,54.6,3.538,45.1,0.8,0.267,2.1,20.593965,,0.1595638,0.533,5.488291672500001,3.5981636900000002,0.6556072280249241
band_B,"3/8"" steel",13,54.9,3.557,45.1,0.8,0.267,2.1,20.593965,,0.1604207,0.533,5.488291672500001,3.617486785,0.6591280130256232
band_B,"3/8"" steel",14,54.8,3.551,45.1,0.8,0.267,2.1,20.593965,,0.16015010000000002,0.533,5.488291672500001,3.611384755000001,0.6580161861832974
band_B,"3/8"" steel",15,54.9,3.557,45.1,0.8,0.267,2.1,20.593965,,0.1604207,0.533,5.488291672500001,3.617486785,0.6591280130256232
band_B,"3/8"" steel",16,54.9,3.557,45.1,0.8,0.267,2.1,20.593965,,0.1604207,0.533,5.488291672500001,3.617486785,0.6591280130256232
band_B,"3/8"" steel",17,54.8,3.551,45.1,0.8,0.267,2.1,20.593965,,0.16015010000000002,0.533,5.488291672500001,3.611384755000001,0.6580161861832974
band_B,"3/8"" steel",18,54.8,3.551,45.0,0.8,0.267,2.1,20.593965,,0.15979500000000002,0.533,5.488291672500001,3.5953875,0.6551013893841116
band_B,"3/8"" steel",19,54.9,3.557,45.1,0.8,0.267,2.1,20.593965,,0.1604207,0.533,5.488291672500001,3.617486785,0.6591280130256232
band_B,"3/8"" steel",20,54.8,3.551,45.1,0.8,0.267,2.1,20.593965,,0.16015010000000002,0.533,5.488291672500001,3.611384755000001,0.6580161861832974
