band_type,pellet_type,trial_num,mass_gn,calc_mass_g,velocity_mps,draw_length_m,slack_length_m,draw_weight_kg,calc_draw_force_N,note,calc_momentum,calc_power_stroke_m,calc_PE,calc_KE,calc_efficiency
band_A,clay,1,18.4,1.192,45.5,0.8,0.268,1.08,10.591182,,0.054236,0.532,2.817254412,1.2338689999999999,0.43796861041174573
band_A,clay,2,17.6,1.14,45.8,0.8,0.268,1.08,10.591182,,0.052211999999999995,0.532,2.817254412,1.1956547999999998,0.4244042692442502
band_A,clay,3,17.0,1.102,45.9,0.8,0.268,1.08,10.591182,,0.0505818,0.532,2.817254412,1.16085231,0.41205093336810084
band_A,clay,4,17.0,1.102,45.9,0.8,0.268,1.08,10.591182,,0.0505818,0.532,2.817254412,1.16085231,0.41205093336810084
band_A,clay,5,17.1,1.108,45.9,0.8,0.268,1.08,10.591182,,0.0508572,0.532,2.817254412,1.16717274,0.4142944048746422
band_A,clay,6,17.7,1.147,45.6,0.8,0.268,1.08,10.591182,,0.0523032,0.532,2.817254412,1.1925129600000002,0.42328905579862847
band_A,clay,7,17.6,1.14,45.6,0.8,0.268,1.08,10.591182,,0.051984,0.532,2.817254412,1.1852352,0.42070577472575094
band_A,clay,8,17.1,1.108,45.8,0.8,0.268,1.08,10.591182,,0.0507464,0.532,2.817254412,1.16209256,0.41249116694967486
band_A,clay,9,15.7,1.017,46.2,0.8,0.268,1.08,10.591182,,0.0469854,0.532,2.817254412,1.0853627399999999,0.38525549392235714
band_A,clay,10,15.4,0.998,46.3,0.8,0.268,1.08,10.591182,,0.046207399999999996,0.532,2.817254412,1.0697013099999997,0.3796963829193569
band_A,clay,11,17.6,1.14,45.5,0.8,0.268,1.08,10.591182,,0.05187,0.532,2.817254412,1.1800424999999999,0.4188625972058642
band_A,clay,12,15.7,1.017,46.3,0.8,0.268,1.08,10.591182,,0.04708709999999999,0.532,2.817254412,1.0900663649999998,0.38692507157213024
band_A,clay,13,16.0,1.037,46.0,0.8,0.268,1.08,10.591182,,0.047701999999999994,0.532,2.817254412,1.097146,0.38943802708294417
band_A,clay,14,15.7,1.017,46.3,0.8,0.268,1.08,10.591182,,0.04708709999999999,0.532,2.817254412,1.0900663649999998,0.38692507157213024
band_A,clay,15,15.3,0.991,46.3,0.8,0.268,1.08,10.591182,,0.045883299999999995,0.532,2.817254412,1.0621983949999998,0.3770331818367562
band_A,clay,16,17.0,1.102,45.8,0.8,0.268,1.08,10.591182,,0.050471600000000005,0.532,2.817254412,1.1557996400000001,0.410257460269442
band_A,clay,17,17.3,1.121,45.7,0.8,0.268,1.08,10.591182,,0.0512297,0.532,2.817254412,1.170598645,0.41551044875957055
band_A,clay,18,17.0,1.102,45.8,0.8,0.268,1.08,10.591182,,0.050471600000000005,0.532,2.817254412,1.1557996400000001,0.410257460269442
band_A,clay,19,16.4,1.063,46.0,0.8,0.268,1.08,10.591182,,0.048898,0.532,2.817254412,1.1246539999999998,0.399202143480395
band_A,clay,20,17.4,1.128,45.6,0.8,0.268,1.08,10.591182,,0.0514368,0.532,2.817254412,1.1727590399999999,0.4162772928865325
band_B,clay,1,17.0,1.102,53.6,0.8,0.267,2.1,20.593965,,0.05906720000000001,0.533,5.488291672500001,1.5830009600000001,0.28843236738526307
band_B,clay,2,17.0,1.102,53.5,0.8,0.267,2.1,20.593965,,0.05895700000000001,0.533,5.488291672500001,1.5770997500000001,0.2873571311638412
band_B,clay,3,16.7,1.082,53.6,0.8,0.267,2.1,20.593965,,0.057995200000000004,0.533,5.488291672500001,1.5542713600000002,0.28319766017318937
band_B,clay,4,16.0,1.037,53.8,0.8,0.267,2.1,20.593965,,0.055790599999999996,0.533,5.488291672500001,1.5007671399999998,0.27344886707094
band_B,clay,5,16.4,1.063,53.6,0.8,0.267,2.1,20.593965,,0.056976799999999994,0.533,5.488291672500001,1.5269782399999998,0.2782246883217192
band_B,clay,6,17.1,1.108,53.4,0.8,0.267,2.1,20.593965,,0.0591672,0.533,5.488291672500001,1.57976424,0.2878426173877879
band_B,clay,7,15.3,0.991,53.8,0.8,0.267,2.1,20.593965,,0.05331579999999999,0.533,5.488291672500001,1.4341950199999998,0.26131902340144797
band_B,clay,8,16.7,1.082,53.7,0.8,0.267,2.1,20.593965,,0.058103400000000006,0.533,5.488291672500001,1.5600762900000005,0.2842553535951856
band_B,clay,9,15.9,1.03,53.8,0.8,0.267,2.1,20.593965,,0.055414000000000005,0.533,5.488291672500001,1.4906366,0.2716030212951478
band_B,clay,10,16.5,1.069,53.6,0.8,0.267,2.1,20.593965,,0.05729839999999999,0.533,5.488291672500001,1.5355971199999998,0.27979510048534134
band_B,clay,11,16.4,1.063,53.7,0.8,0.267,2.1,20.593965,,0.0570831,0.533,5.488291672500001,1.532681235,0.2792638085690224
band_B,clay,12,16.5,1.069,53.5,0.8,0.267,2.1,20.593965,,0.05719149999999999,0.533,5.488291672500001,1.5298726249999999,0.27875206280775516
band_B,clay,13,17.0,1.102,53.5,0.8,0.267,2.1,20.593965,,0.05895700000000001,0.533,5.488291672500001,1.5770997500000001,0.2873571311638412
band_B,clay,14,16.2,1.05,53.7,0.8,0.267,2.1,20.593965,,0.05638500000000001,0.533,5.488291672500001,1.5139372500000006,0.2758485409195425
band_B,clay,15,16.2,1.05,53.6,0.8,0.267,2.1,20.593965,,0.05628000000000001,0.533,5.488291672500001,1.5083040000000003,0.2748221286338714
band_B,clay,16,16.7,1.082,53.4,0.8,0.267,2.1,20.593965,,0.057778800000000005,0.533,5.488291672500001,1.54269396,0.2810881877378939
band_B,clay,17,17.6,1.14,53.3,0.8,0.267,2.1,20.593965,,0.060762,0.533,5.488291672500001,1.6193072999999998,0.2950476025379279
band_B,clay,18,17.6,1.14,53.1,0.8,0.267,2.1,20.593965,,0.060534,0.533,5.488291672500001,1.6071777,0.29283751591647933
band_B,clay,19,17.7,1.147,53.2,0.8,0.267,2.1,20.593965,,0.0610204,0.533,5.488291672500001,1.6231426400000002,0.29574642472684654
band_B,clay,20,16.5,1.069,53.5,0.8,0.267,2.1,20.593965,,0.05719149999999999,0.533,5.488291672500001,1.5298726249999999,0.27875206280775516
band_C,clay,1,15.0,0.972,56.8,0.8,0.268,2.41,23.6340265,,0.0552096,0.532,6.2866510490000005,1.56795264,0.24940984123007903
band_C,clay,2,17.3,1.121,56.3,0.8,0.268,2.41,23.6340265,,0.0631123,0.532,6.2866510490000005,1.7766112449999998,0.28260058195572985
band_C,clay,3,17.0,1.102,56.2,0.8,0.268,2.41,23.6340265,,0.06193240000000001,0.532,6.2866510490000005,1.7403004400000004,0.2768247237576237
band_C,clay,4,16.2,1.05,56.5,0.8,0.268,2.41,23.6340265,,0.05932500000000001,0.532,6.2866510490000005,1.6759312500000003,0.26658569673062826
band_C,clay,5,15.9,1.03,56.6,0.8,0.268,2.41,23.6340265,,0.05829800000000001,0.532,6.2866510490000005,1.6498334000000001,0.2624343847210089
band_C,clay,6,15.6,1.011,56.7,0.8,0.268,2.41,23.6340265,,0.0573237,0.532,6.2866510490000005,1.6251268950000002,0.2585043900692571
band_C,clay,7,16.4,1.063,56.6,0.8,0.268,2.41,23.6340265,,0.0601658,0.532,6.2866510490000005,1.70269214,0.2708424766586722
band_C,clay,8,17.1,1.108,56.3,0.8,0.268,2.41,23.6340265,,0.0623804,0.532,6.2866510490000005,1.7560082599999998,0.2793233227537455
band_C,clay,9,15.1,0.978,56.8,0.8,0.268,2.41,23.6340265,,0.05555039999999999,0.532,6.2866510490000005,1.5776313599999998,0.25094940815125233
band_C,clay,10,16.5,1.069,56.4,0.8,0.268,2.41,23.6340265,,0.06029159999999999,0.532,6.2866510490000005,1.7002231199999998,0.2704497365525719
band_C,clay,11,16.5,1.069,56.5,0.8,0.268,2.41,23.6340265,,0.060398499999999994,0.532,6.2866510490000005,1.7062576249999997,0.27140962838575383
band_C,clay,12,16.8,1.089,56.4,0.8,0.268,2.41,23.6340265,,0.06141959999999999,0.532,6.2866510490000005,1.7320327199999999,0.2755096006601972
