band_type,pellet_type,trial_num,mass_gn,calc_mass_g,velocity_mps,draw_length_m,slack_length_m,draw_weight_kg,calc_draw_force_N,note,calc_momentum,calc_power_stroke_m,calc_PE,calc_KE,calc_efficiency
band_C,"1/2"" steel",1,129.0,8.359,35.9,0.8,0.269,2.42,23.732093,prior to band replacement,0.30008809999999997,0.531,6.3008706915,5.386581394999999,0.854894769109705
band_C,"1/2"" steel",2,129.2,8.372,35.6,0.8,0.269,2.42,23.732093,prior to band replacement,0.2980432,0.531,6.3008706915,5.3051689600000005,0.8419739461018901
band_C,"1/2"" steel",3,129.2,8.372,35.8,0.8,0.269,2.42,23.732093,prior to band replacement,0.2997176,0.531,6.3008706915,5.364945039999999,0.8514609016238688
band_C,"1/2"" steel",4,129.2,8.372,35.6,0.8,0.269,2.42,23.732093,prior to band replacement,0.2980432,0.531,6.3008706915,5.3051689600000005,0.8419739461018901
band_C,"1/2"" steel",5,129.2,8.372,35.6,0.8,0.269,2.42,23.732093,prior to band replacement,0.2980432,0.531,6.3008706915,5.3051689600000005,0.8419739461018901
band_C,"1/2"" steel",6,129.2,8.372,35.6,0.8,0.269,2.42,23.732093,prior to band replacement,0.2980432,0.531,6.3008706915,5.3051689600000005,0.8419739461018901
band_C,"1/2"" steel",7,129.2,8.372,35.6,0.8,0.269,2.42,23.732093,prior to band replacement,0.2980432,0.531,6.3008706915,5.3051689600000005,0.8419739461018901
band_C,"1/2"" steel",8,129.2,8.372,35.3,0.8,0.269,2.42,23.732093,prior to band replacement,0.29553159999999995,0.531,6.3008706915,5.216132739999998,0.82784316571306
band_C,"1/2"" steel",9,129.2,8.372,35.4,0.8,0.269,2.42,23.732093,prior to band replacement,0.2963688,0.531,6.3008706915,5.2457277599999985,0.8325401387901182
band_C,"1/2"" steel",10,129.2,8.372,35.5,0.8,0.269,2.42,23.732093,prior to band replacement,0.29720599999999997,0.531,6.3008706915,5.2754065,0.8372503989197284
band_C,"1/2"" steel",11,129.2,8.372,35.7,0.8,0.269,2.42,23.732093,prior to band replacement,0.2988804,0.531,6.3008706915,5.33501514,0.8467107803366036
band_C,"1/2"" steel",12,129.0,8.359,35.5,0.8,0.269,2.42,23.732093,prior to band replacement,0.2967445,0.531,6.3008706915,5.267214875,0.8359503206605362
band_C,"1/2"" steel",13,129.0,8.359,35.3,0.8,0.269,2.42,23.732093,"noticed a tear in the band. possibly due to a prior failure to load the pouch into the release-aid, which led to a misfire.",0.29507269999999997,0.531,6.3008706915,5.208033154999999,0.8265576949588473
band_C,"1/2"" steel",14,129.0,8.359,36.8,0.8,0.268,2.41,23.6340265,replaced the damaged band,0.3076112,0.532,6.2866510490000005,5.660046079999999,0.9003277000558709
band_C,"1/2"" steel",15,129.0,8.359,36.9,0.8,0.268,2.41,23.6340265,,0.3084471,0.532,6.2866510490000005,5.690848995,0.9052274335960203
band_C,"1/2"" steel",16,129.0,8.359,36.7,0.8,0.268,2.41,23.6340265,,0.30677530000000003,0.532,6.2866510490000005,5.629326755,0.8954412629432392
band_C,"1/2"" steel",17,129.2,8.372,36.6,0.8,0.268,2.41,23.6340265,,0.3064152,0.532,6.2866510490000005,5.60739816,0.891953142665991
band_C,"1/2"" steel",18,129.0,8.359,36.5,0.8,0.268,2.41,23.6340265,,0.3051035,0.532,6.2866510490000005,5.568138875,0.8857082780005274
band_C,"1/2"" steel",19,129.0,8.359,36.6,0.8,0.268,2.41,23.6340265,,0.30593940000000003,0.532,6.2866510490000005,5.59869102,0.8905681222581248
band_C,"1/2"" steel",20,129.0,8.359,36.5,0.8,0.268,2.41,23.6340265,,0.3051035,0.532,6.2866510490000005,5.568138875,0.8857082780005274
band_C,12 mm steel,1,108.2,7.011,39.2,0.8,0.268,2.41,23.6340265,,0.2748312,0.532,6.2866510490000005,5.386691520000001,0.8568459547085641
band_C,12 mm steel,2,108.2,7.011,39.4,0.8,0.268,2.41,23.6340265,,0.27623339999999996,0.532,6.2866510490000005,5.44179798,0.8656115851802544
band_C,12 mm steel,3,108.2,7.011,39.2,0.8,0.268,2.41,23.6340265,,0.2748312,0.532,6.2866510490000005,5.386691520000001,0.8568459547085641
band_C,12 mm steel,4,108.2,7.011,39.0,0.8,0.268,2.41,23.6340265,,0.273429,0.532,6.2866510490000005,5.3318655,0.848124933043345
band_C,12 mm steel,5,108.2,7.011,39.1,0.8,0.268,2.41,23.6340265,,0.2741301,0.532,6.2866510490000005,5.3592434550000005,0.8524798677751455
band_C,12 mm steel,6,108.2,7.011,39.3,0.8,0.268,2.41,23.6340265,,0.27553229999999995,0.532,6.2866510490000005,5.414209694999999,0.8612231938436001
band_C,12 mm steel,7,108.2,7.011,39.3,0.8,0.268,2.41,23.6340265,,0.27553229999999995,0.532,6.2866510490000005,5.414209694999999,0.8612231938436001
band_C,12 mm steel,8,108.2,7.011,39.1,0.8,0.268,2.41,23.6340265,,0.2741301,0.532,6.2866510490000005,5.3592434550000005,0.8524798677751455
band_C,12 mm steel,9,108.2,7.011,39.3,0.8,0.268,2.41,23.6340265,,0.27553229999999995,0.532,6.2866510490000005,5.414209694999999,0.8612231938436001
band_C,12 mm steel,10,108.2,7.011,39.1,0.8,0.268,2.41,23.6340265,,0.2741301,0.532,6.2866510490000005,5.3592434550000005,0.8524798677751455
band_C,12 mm steel,11,108.2,7.011,39.4,0.8,0.268,2.41,23.6340265,,0.27623339999999996,0.532,6.2866510490000005,5.44179798,0.8656115851802544
