band_type,pellet_type,trial_num,mass_gn,calc_mass_g,velocity_mps,draw_length_m,slack_length_m,draw_weight_kg,calc_draw_force_N,note,calc_momentum,calc_power_stroke_m,calc_PE,calc_KE,calc_efficiency
band_E,"1/2"" steel",1,129.2,8.372,45.1,0.8,0.27,5.38,52.759777,,0.3775772,0.53,13.981340905000001,8.51436586,0.6089806348227369
band_E,"1/2"" steel",2,128.9,8.353,45.0,0.8,0.27,5.38,52.759777,,0.37588499999999997,0.53,13.981340905000001,8.457412499999998,0.6049071085145676
band_E,"1/2"" steel",3,129.2,8.372,45.1,0.8,0.27,5.38,52.759777,,0.3775772,0.53,13.981340905000001,8.51436586,0.6089806348227369
band_E,"1/2"" steel",4,129.0,8.359,45.0,0.8,0.27,5.38,52.759777,,0.376155,0.53,13.981340905000001,8.4634875,0.6053416161945733
band_E,"1/2"" steel",5,129.0,8.359,44.9,0.8,0.27,5.38,52.759777,,0.3753191,0.53,13.981340905000001,8.425913795,0.6026541983528009
band_E,"1/2"" steel",6,129.0,8.359,45.0,0.8,0.27,5.38,52.759777,,0.376155,0.53,13.981340905000001,8.4634875,0.6053416161945733
band_E,"1/2"" steel",7,129.0,8.359,45.0,0.8,0.27,5.38,52.759777,,0.376155,0.53,13.981340905000001,8.4634875,0.6053416161945733
band_E,"1/2"" steel",8,129.2,8.372,45.1,0.8,0.27,5.38,52.759777,,0.3775772,0.53,13.981340905000001,8.51436586,0.6089806348227369
band_E,"1/2"" steel",9,129.2,8.372,45.1,0.8,0.27,5.38,52.759777,,0.3775772,0.53,13.981340905000001,8.51436586,0.6089806348227369
band_E,"1/2"" steel",10,129.2,8.372,45.0,0.8,0.27,5.38,52.759777,,0.37673999999999996,0.53,13.981340905000001,8.47665,0.6062830495012523
band_E,"1/2"" steel",11,129.0,8.359,45.2,0.8,0.27,5.38,52.759777,,0.3778268,0.53,13.981340905000001,8.538885680000002,0.6107343879260057
band_E,"1/2"" steel",12,129.0,8.359,44.9,0.8,0.27,5.38,52.759777,,0.3753191,0.53,13.981340905000001,8.425913795,0.6026541983528009
band_E,"1/2"" steel",13,129.3,8.378,45.1,0.8,0.27,5.38,52.759777,,0.3778478,0.53,13.981340905000001,8.52046789,0.6094170757937041
band_E,"1/2"" steel",14,129.2,8.372,44.9,0.8,0.27,5.38,52.759777,,0.3759028,0.53,13.981340905000001,8.439017859999998,0.6035914521605035
band_E,"1/2"" steel",15,129.0,8.359,45.0,0.8,0.27,5.38,52.759777,,0.376155,0.53,13.981340905000001,8.4634875,0.6053416161945733
band_E,"1/2"" steel",16,129.0,8.359,45.0,0.8,0.27,5.38,52.759777,,0.376155,0.53,13.981340905000001,8.4634875,0.6053416161945733
band_E,"1/2"" steel",17,129.0,8.359,45.0,0.8,0.27,5.38,52.759777,,0.376155,0.53,13.981340905000001,8.4634875,0.6053416161945733
band_E,"1/2"" steel",18,129.2,8.372,45.0,0.8,0.27,5.38,52.759777,,0.37673999999999996,0.53,13.981340905000001,8.47665,0.6062830495012523
band_E,"1/2"" steel",19,128.9,8.353,44.9,0.8,0.27,5.38,52.759777,,0.37504969999999993,0.53,13.981340905000001,8.419865764999999,0.6022216196723227
band_E,"1/2"" steel",20,129.2,8.372,45.0,0.8,0.27,5.38,52.759777,,0.37673999999999996,0.53,13.981340905000001,8.47665,0.6062830495012523
band_E,12 mm steel,1,108.2,7.011,46.7,0.8,0.27,5.38,52.759777,,0.32741370000000003,0.53,13.981340905000001,7.645109895000001,0.5468080598954539
band_E,12 mm steel,2,108.2,7.011,46.8,0.8,0.27,5.38,52.759777,,0.3281148,0.53,13.981340905000001,7.677886319999999,0.5491523575721007
band_E,12 mm steel,3,108.2,7.011,46.6,0.8,0.27,5.38,52.759777,,0.3267126,0.53,13.981340905000001,7.61240358,0.5444687767592917
band_E,12 mm steel,4,108.2,7.011,46.7,0.8,0.27,5.38,52.759777,,0.32741370000000003,0.53,13.981340905000001,7.645109895000001,0.5468080598954539
band_E,12 mm steel,5,108.2,7.011,46.7,0.8,0.27,5.38,52.759777,,0.32741370000000003,0.53,13.981340905000001,7.645109895000001,0.5468080598954539
band_E,12 mm steel,6,108.2,7.011,46.8,0.8,0.27,5.38,52.759777,,0.3281148,0.53,13.981340905000001,7.677886319999999,0.5491523575721007
band_E,12 mm steel,7,108.2,7.011,46.7,0.8,0.27,5.38,52.759777,,0.32741370000000003,0.53,13.981340905000001,7.645109895000001,0.5468080598954539
band_E,12 mm steel,8,108.2,7.011,46.6,0.8,0.27,5.38,52.759777,,0.3267126,0.53,13.981340905000001,7.61240358,0.5444687767592917
band_E,12 mm steel,9,108.2,7.011,46.7,0.8,0.27,5.38,52.759777,,0.32741370000000003,0.53,13.981340905000001,7.645109895000001,0.5468080598954539
band_E,12 mm steel,10,108.2,7.011,46.0,0.8,0.27,5.38,52.759777,,0.322506,0.53,13.981340905000001,7.417638,0.5305383832925
band_E,12 mm steel,11,108.2,7.011,46.7,0.8,0.27,5.38,52.759777,,0.32741370000000003,0.53,13.981340905000001,7.645109895000001,0.5468080598954539
band_E,12 mm steel,12,108.2,7.011,46.6,0.8,0.27,5.38,52.759777,,0.3267126,0.53,13.981340905000001,7.61240358,0.5444687767592917
band_E,12 mm steel,13,108.2,7.011,46.6,0.8,0.27,5.38,52.759777,,0.3267126,0.53,13.981340905000001,7.61240358,0.5444687767592917
band_E,12 mm steel,14,108.2,7.011,46.6,0.8,0.27,5.38,52.759777,,0.3267126,0.53,13.981340905000001,7.61240358,0.5444687767592917
band_E,12 mm steel,15,108.2,7.011,46.5,0.8,0.27,5.38,52.759777,,0.3260115,0.53,13.981340905000001,7.579767374999999,0.5421345081636144
band_E,12 mm steel,16,108.2,7.011,46.5,0.8,0.27,5.38,52.759777,,0.3260115,0.53,13.981340905000001,7.579767374999999,0.5421345081636144
band_E,12 mm steel,17,108.2,7.011,46.7,0.8,0.27,5.38,52.759777,,0.32741370000000003,0.53,13.981340905000001,7.645109895000001,0.5468080598954539
band_E,12 mm steel,18,108.2,7.011,46.0,0.8,0.27,5.38,52.759777,,0.322506,0.53,13.981340905000001,7.417638,0.5305383832925
band_E,12 mm steel,19,108.2,7.011,46.6,0.8,0.27,5.38,52.759777,,0.3267126,0.53,13.981340905000001,7.61240358,0.5444687767592917
band_E,12 mm steel,20,108.2,7.011,46.7,0.8,0.27,5.38,52.759777,,0.32741370000000003,0.53,13.981340905000001,7.645109895000001,0.5468080598954539
band_E,11 mm steel,1,83.6,5.417,48.8,0.8,0.27,5.38,52.759777,,0.26434959999999996,0.53,13.981340905000001,6.450130239999999,0.4613384570068888
band_E,11 mm steel,2,83.6,5.417,48.8,0.8,0.27,5.38,52.759777,,0.26434959999999996,0.53,13.981340905000001,6.450130239999999,0.4613384570068888
band_E,11 mm steel,3,83.6,5.417,48.8,0.8,0.27,5.38,52.759777,,0.26434959999999996,0.53,13.981340905000001,6.450130239999999,0.4613384570068888
band_E,11 mm steel,4,83.6,5.417,48.8,0.8,0.27,5.38,52.759777,,0.26434959999999996,0.53,13.981340905000001,6.450130239999999,0.4613384570068888
band_E,11 mm steel,5,83.8,5.43,48.7,0.8,0.27,5.38,52.759777,,0.26444100000000004,0.53,13.981340905000001,6.43913835,0.4605522741883247
band_E,11 mm steel,6,83.6,5.417,48.8,0.8,0.27,5.38,52.759777,,0.26434959999999996,0.53,13.981340905000001,6.450130239999999,0.4613384570068888
band_E,11 mm steel,7,83.6,5.417,48.8,0.8,0.27,5.38,52.759777,,0.26434959999999996,0.53,13.981340905000001,6.450130239999999,0.4613384570068888
band_E,11 mm steel,8,83.6,5.417,48.8,0.8,0.27,5.38,52.759777,,0.26434959999999996,0.53,13.981340905000001,6.450130239999999,0.4613384570068888
band_E,11 mm steel,9,83.6,5.417,48.8,0.8,0.27,5.38,52.759777,,0.26434959999999996,0.53,13.981340905000001,6.450130239999999,0.4613384570068888
band_E,11 mm steel,10,83.6,5.417,48.8,0.8,0.27,5.38,52.759777,,0.26434959999999996,0.53,13.981340905000001,6.450130239999999,0.4613384570068888
band_E,11 mm steel,11,83.5,5.411,48.7,0.8,0.27,5.38,52.759777,,0.2635157,0.53,13.981340905000001,6.416607295,0.4589407653099493
band_E,11 mm steel,12,83.6,5.417,48.8,0.8,0.27,5.38,52.759777,,0.26434959999999996,0.53,13.981340905000001,6.450130239999999,0.4613384570068888
band_E,11 mm steel,13,83.6,5.417,48.7,0.8,0.27,5.38,52.759777,,0.26380790000000004,0.53,13.981340905000001,6.423722365,0.4594496628504889
band_E,11 mm steel,14,83.6,5.417,48.7,0.8,0.27,5.38,52.759777,,0.26380790000000004,0.53,13.981340905000001,6.423722365,0.4594496628504889
band_E,11 mm steel,15,83.6,5.417,48.7,0.8,0.27,5.38,52.759777,,0.26380790000000004,0.53,13.981340905000001,6.423722365,0.4594496628504889
band_E,11 mm steel,16,83.6,5.417,48.7,0.8,0.27,5.38,52.759777,,0.26380790000000004,0.53,13.981340905000001,6.423722365,0.4594496628504889
band_E,11 mm steel,17,83.6,5.417,48.8,0.8,0.27,5.38,52.759777,,0.26434959999999996,0.53,13.981340905000001,6.450130239999999,0.4613384570068888
band_E,11 mm steel,18,83.6,5.417,48.7,0.8,0.27,5.38,52.759777,,0.26380790000000004,0.53,13.981340905000001,6.423722365,0.4594496628504889
band_E,11 mm steel,19,83.6,5.417,48.8,0.8,0.27,5.38,52.759777,,0.26434959999999996,0.53,13.981340905000001,6.450130239999999,0.4613384570068888
band_E,11 mm steel,20,83.6,5.417,48.7,0.8,0.27,5.38,52.759777,,0.26380790000000004,0.53,13.981340905000001,6.423722365,0.4594496628504889
band_E,10 mm steel,1,63.1,4.089,50.5,0.8,0.27,5.38,52.759777,,0.20649450000000003,0.53,13.981340905000001,5.213986125000001,0.37292461148239203
band_E,10 mm steel,2,63.1,4.089,50.4,0.8,0.27,5.38,52.759777,,0.20608560000000004,0.53,13.981340905000001,5.193357120000001,0.3714491446340998
band_E,10 mm steel,3,63.0,4.082,50.4,0.8,0.27,5.38,52.759777,,0.20573279999999997,0.53,13.981340905000001,5.18446656,0.37081325712800073
band_E,10 mm steel,4,62.8,4.069,50.4,0.8,0.27,5.38,52.759777,,0.20507759999999997,0.53,13.981340905000001,5.16795552,0.36963232318810263
band_E,10 mm steel,5,63.0,4.082,50.4,0.8,0.27,5.38,52.759777,,0.20573279999999997,0.53,13.981340905000001,5.18446656,0.37081325712800073
band_E,10 mm steel,6,63.0,4.082,50.3,0.8,0.27,5.38,52.759777,,0.20532459999999997,0.53,13.981340905000001,5.163913689999999,0.3693432357516783
band_E,10 mm steel,7,63.0,4.082,50.0,0.8,0.27,5.38,52.759777,issue loading,0.20409999999999998,0.53,13.981340905000001,5.1025,0.36495068925579566
band_E,10 mm steel,8,62.8,4.069,50.3,0.8,0.27,5.38,52.759777,,0.20467069999999998,0.53,13.981340905000001,5.147468104999999,0.3681669834085201
band_E,10 mm steel,9,63.1,4.089,50.2,0.8,0.27,5.38,52.759777,,0.20526780000000006,0.53,13.981340905000001,5.152221780000001,0.368506984774076
band_E,10 mm steel,10,63.0,4.082,50.2,0.8,0.27,5.38,52.759777,,0.2049164,0.53,13.981340905000001,5.14340164,0.3678761339808701
band_E,10 mm steel,11,63.0,4.082,50.5,0.8,0.27,5.38,52.759777,,0.206141,0.53,13.981340905000001,5.20506025,0.3722861981098371
band_E,10 mm steel,12,63.1,4.089,50.4,0.8,0.27,5.38,52.759777,,0.20608560000000004,0.53,13.981340905000001,5.193357120000001,0.3714491446340998
band_E,10 mm steel,13,63.1,4.089,50.3,0.8,0.27,5.38,52.759777,,0.20567670000000002,0.53,13.981340905000001,5.172769005,0.36997660239799435
band_E,10 mm steel,14,63.0,4.082,50.3,0.8,0.27,5.38,52.759777,,0.20532459999999997,0.53,13.981340905000001,5.163913689999999,0.3693432357516783
band_E,10 mm steel,15,63.1,4.089,50.3,0.8,0.27,5.38,52.759777,,0.20567670000000002,0.53,13.981340905000001,5.172769005,0.36997660239799435
band_E,10 mm steel,16,63.1,4.089,50.4,0.8,0.27,5.38,52.759777,,0.20608560000000004,0.53,13.981340905000001,5.193357120000001,0.3714491446340998
band_E,10 mm steel,17,63.0,4.082,50.3,0.8,0.27,5.38,52.759777,,0.20532459999999997,0.53,13.981340905000001,5.163913689999999,0.3693432357516783
band_E,10 mm steel,18,63.0,4.082,50.4,0.8,0.27,5.38,52.759777,,0.20573279999999997,0.53,13.981340905000001,5.18446656,0.37081325712800073
band_E,10 mm steel,19,63.0,4.082,50.3,0.8,0.27,5.38,52.759777,,0.20532459999999997,0.53,13.981340905000001,5.163913689999999,0.3693432357516783
band_E,10 mm steel,20,63.1,4.089,50.3,0.8,0.27,5.38,52.759777,,0.20567670000000002,0.53,13.981340905000001,5.172769005,0.36997660239799435
band_E,9 mm steel,1,46.1,2.987,51.6,0.8,0.27,5.38,52.759777,,0.15412920000000002,0.53,13.981340905000001,3.97653336,0.2844171662088515
band_E,9 mm steel,2,46.1,2.987,51.6,0.8,0.27,5.38,52.759777,,0.15412920000000002,0.53,13.981340905000001,3.97653336,0.2844171662088515
band_E,9 mm steel,3,46.1,2.987,51.6,0.8,0.27,5.38,52.759777,,0.15412920000000002,0.53,13.981340905000001,3.97653336,0.2844171662088515
band_E,9 mm steel,4,46.1,2.987,51.6,0.8,0.27,5.38,52.759777,,0.15412920000000002,0.53,13.981340905000001,3.97653336,0.2844171662088515
band_E,9 mm steel,5,46.1,2.987,51.6,0.8,0.27,5.38,52.759777,,0.15412920000000002,0.53,13.981340905000001,3.97653336,0.2844171662088515
band_E,9 mm steel,6,46.1,2.987,51.6,0.8,0.27,5.38,52.759777,,0.15412920000000002,0.53,13.981340905000001,3.97653336,0.2844171662088515
band_E,9 mm steel,7,46.1,2.987,51.5,0.8,0.27,5.38,52.759777,,0.1538305,0.53,13.981340905000001,3.961135375,0.28331584230117873
band_E,9 mm steel,8,46.1,2.987,51.5,0.8,0.27,5.38,52.759777,,0.1538305,0.53,13.981340905000001,3.961135375,0.28331584230117873
band_E,9 mm steel,9,46.1,2.987,51.5,0.8,0.27,5.38,52.759777,,0.1538305,0.53,13.981340905000001,3.961135375,0.28331584230117873
