band_type,pellet_type,trial_num,mass_gn,calc_mass_g,velocity_mps,draw_length_m,slack_length_m,draw_weight_kg,calc_draw_force_N,note,calc_momentum,calc_power_stroke_m,calc_PE,calc_KE,calc_efficiency
band_A,9 mm steel,1,46.5,3.013,36.9,0.8,0.268,1.08,10.591182,,0.11117969999999999,0.532,2.817254412,2.0512654649999997,0.728107996304027
band_A,9 mm steel,2,46.3,3.0,36.8,0.8,0.268,1.08,10.591182,,0.1104,0.532,2.817254412,2.03136,0.7210424416579101
band_A,9 mm steel,3,46.1,2.987,36.8,0.8,0.268,1.08,10.591182,,0.1099216,0.532,2.817254412,2.02255744,0.7179179244107259
band_A,9 mm steel,4,46.1,2.987,36.9,0.8,0.268,1.08,10.591182,,0.1102203,0.532,2.817254412,2.033564535,0.72182495352145
band_A,9 mm steel,5,46.1,2.987,36.8,0.8,0.268,1.08,10.591182,,0.1099216,0.532,2.817254412,2.02255744,0.7179179244107259
band_A,9 mm steel,6,46.1,2.987,36.8,0.8,0.268,1.08,10.591182,,0.1099216,0.532,2.817254412,2.02255744,0.7179179244107259
band_A,9 mm steel,7,46.1,2.987,36.7,0.8,0.268,1.08,10.591182,,0.10962290000000001,0.532,2.817254412,2.0115802150000004,0.7140214978213335
band_A,9 mm steel,8,46.1,2.987,36.8,0.8,0.268,1.08,10.591182,,0.1099216,0.532,2.817254412,2.02255744,0.7179179244107259
band_A,9 mm steel,9,46.1,2.987,36.8,0.8,0.268,1.08,10.591182,,0.1099216,0.532,2.817254412,2.02255744,0.7179179244107259
band_A,9 mm steel,10,46.1,2.987,36.7,0.8,0.268,1.08,10.591182,,0.10962290000000001,0.532,2.817254412,2.0115802150000004,0.7140214978213335
band_A,9 mm steel,11,46.3,3.0,36.9,0.8,0.268,1.08,10.591182,,0.11069999999999999,0.532,2.817254412,2.042415,0.7249664749127386
band_A,9 mm steel,12,46.1,2.987,36.8,0.8,0.268,1.08,10.591182,,0.1099216,0.532,2.817254412,2.02255744,0.7179179244107259
band_A,9 mm steel,13,46.1,2.987,36.8,0.8,0.268,1.08,10.591182,,0.1099216,0.532,2.817254412,2.02255744,0.7179179244107259
band_A,9 mm steel,14,46.1,2.987,36.9,0.8,0.268,1.08,10.591182,,0.1102203,0.532,2.817254412,2.033564535,0.72182495352145
band_A,9 mm steel,15,46.1,2.987,36.7,0.8,0.268,1.08,10.591182,,0.10962290000000001,0.532,2.817254412,2.0115802150000004,0.7140214978213335
band_A,9 mm steel,16,46.1,2.987,36.9,0.8,0.268,1.08,10.591182,,0.1102203,0.532,2.817254412,2.033564535,0.72182495352145
band_A,9 mm steel,17,46.1,2.987,36.8,0.8,0.268,1.08,10.591182,,0.1099216,0.532,2.817254412,2.02255744,0.7179179244107259
band_A,9 mm steel,18,46.1,2.987,36.7,0.8,0.268,1.08,10.591182,,0.10962290000000001,0.532,2.817254412,2.0115802150000004,0.7140214978213335
band_A,9 mm steel,19,46.1,2.987,36.7,0.8,0.268,1.08,10.591182,,0.10962290000000001,0.532,2.817254412,2.0115802150000004,0.7140214978213335
band_A,9 mm steel,20,46.1,2.987,36.8,0.8,0.268,1.08,10.591182,,0.1099216,0.532,2.817254412,2.02255744,0.7179179244107259
band_B,9 mm steel,1,46.1,2.987,47.5,0.8,0.267,2.1,20.593965,,0.1418825,0.533,5.488291672500001,3.3697093750000002,0.6139814674727456
band_B,9 mm steel,2,46.1,2.987,47.3,0.8,0.267,2.1,20.593965,,0.1412851,0.533,5.488291672500001,3.3413926149999993,0.6088219822103484
band_B,9 mm steel,3,46.1,2.987,47.4,0.8,0.267,2.1,20.593965,,0.1415838,0.533,5.488291672500001,3.35553606,0.6113990035940459
band_B,9 mm steel,4,46.1,2.987,47.4,0.8,0.267,2.1,20.593965,,0.1415838,0.533,5.488291672500001,3.35553606,0.6113990035940459
band_B,9 mm steel,5,46.1,2.987,47.2,0.8,0.267,2.1,20.593965,,0.1409864,0.533,5.488291672500001,3.32727904,0.6062504033216539
band_B,9 mm steel,6,46.1,2.987,47.3,0.8,0.267,2.1,20.593965,,0.1412851,0.533,5.488291672500001,3.3413926149999993,0.6088219822103484
band_B,9 mm steel,7,46.1,2.987,47.2,0.8,0.267,2.1,20.593965,,0.1409864,0.533,5.488291672500001,3.32727904,0.6062504033216539
band_B,9 mm steel,8,46.1,2.987,47.3,0.8,0.267,2.1,20.593965,,0.1412851,0.533,5.488291672500001,3.3413926149999993,0.6088219822103484
band_B,9 mm steel,9,46.1,2.987,47.2,0.8,0.267,2.1,20.593965,,0.1409864,0.533,5.488291672500001,3.32727904,0.6062504033216539
band_B,9 mm steel,10,46.1,2.987,47.3,0.8,0.267,2.1,20.593965,,0.1412851,0.533,5.488291672500001,3.3413926149999993,0.6088219822103484
band_B,9 mm steel,11,46.1,2.987,47.3,0.8,0.267,2.1,20.593965,,0.1412851,0.533,5.488291672500001,3.3413926149999993,0.6088219822103484
band_B,9 mm steel,12,46.1,2.987,47.0,0.8,0.267,2.1,20.593965,,0.140389,0.533,5.488291672500001,3.2991415,0.6011235730292721
band_B,9 mm steel,13,46.1,2.987,47.2,0.8,0.267,2.1,20.593965,,0.1409864,0.533,5.488291672500001,3.32727904,0.6062504033216539
band_B,9 mm steel,14,46.1,2.987,47.2,0.8,0.267,2.1,20.593965,,0.1409864,0.533,5.488291672500001,3.32727904,0.6062504033216539
band_B,9 mm steel,15,46.1,2.987,47.2,0.8,0.267,2.1,20.593965,,0.1409864,0.533,5.488291672500001,3.32727904,0.6062504033216539
band_B,9 mm steel,16,46.1,2.987,47.2,0.8,0.267,2.1,20.593965,,0.1409864,0.533,5.488291672500001,3.32727904,0.6062504033216539
band_B,9 mm steel,17,46.1,2.987,47.2,0.8,0.267,2.1,20.593965,,0.1409864,0.533,5.488291672500001,3.32727904,0.6062504033216539
band_B,9 mm steel,18,46.1,2.987,47.2,0.8,0.267,2.1,20.593965,,0.1409864,0.533,5.488291672500001,3.32727904,0.6062504033216539
band_B,9 mm steel,19,46.1,2.987,47.1,0.8,0.267,2.1,20.593965,,0.1406877,0.533,5.488291672500001,3.3131953350000005,0.6036842669279618
band_B,9 mm steel,20,46.1,2.987,47.2,0.8,0.267,2.1,20.593965,,0.1409864,0.533,5.488291672500001,3.32727904,0.6062504033216539
band_C,9 mm steel,1,46.1,2.987,50.3,0.8,0.268,2.41,23.6340265,,0.1502461,0.532,6.2866510490000005,3.7786894149999997,0.6010655570903788
band_C,9 mm steel,2,46.1,2.987,50.3,0.8,0.268,2.41,23.6340265,,0.1502461,0.532,6.2866510490000005,3.7786894149999997,0.6010655570903788
band_C,9 mm steel,3,46.1,2.987,50.3,0.8,0.268,2.41,23.6340265,,0.1502461,0.532,6.2866510490000005,3.7786894149999997,0.6010655570903788
band_C,9 mm steel,4,46.1,2.987,50.1,0.8,0.268,2.41,23.6340265,,0.1496487,0.532,6.2866510490000005,3.7486999350000003,0.5962952143806829
band_C,9 mm steel,5,46.1,2.987,50.1,0.8,0.268,2.41,23.6340265,,0.1496487,0.532,6.2866510490000005,3.7486999350000003,0.5962952143806829
band_C,9 mm steel,6,46.1,2.987,50.2,0.8,0.268,2.41,23.6340265,,0.1499474,0.532,6.2866510490000005,3.7636797400000006,0.5986780100668508
band_C,9 mm steel,7,46.1,2.987,50.2,0.8,0.268,2.41,23.6340265,,0.1499474,0.532,6.2866510490000005,3.7636797400000006,0.5986780100668508
band_C,9 mm steel,8,46.1,2.987,50.2,0.8,0.268,2.41,23.6340265,,0.1499474,0.532,6.2866510490000005,3.7636797400000006,0.5986780100668508
band_C,9 mm steel,9,46.1,2.987,50.2,0.8,0.268,2.41,23.6340265,,0.1499474,0.532,6.2866510490000005,3.7636797400000006,0.5986780100668508
band_C,9 mm steel,10,46.1,2.987,50.1,0.8,0.268,2.41,23.6340265,,0.1496487,0.532,6.2866510490000005,3.7486999350000003,0.5962952143806829
band_C,9 mm steel,11,46.1,2.987,50.2,0.8,0.268,2.41,23.6340265,,0.1499474,0.532,6.2866510490000005,3.7636797400000006,0.5986780100668508
band_C,9 mm steel,12,46.1,2.987,50.3,0.8,0.268,2.41,23.6340265,,0.1502461,0.532,6.2866510490000005,3.7786894149999997,0.6010655570903788
band_C,9 mm steel,13,46.1,2.987,50.2,0.8,0.268,2.41,23.6340265,,0.1499474,0.532,6.2866510490000005,3.7636797400000006,0.5986780100668508
band_C,9 mm steel,14,46.1,2.987,50.3,0.8,0.268,2.41,23.6340265,,0.1502461,0.532,6.2866510490000005,3.7786894149999997,0.6010655570903788
band_C,9 mm steel,15,46.1,2.987,50.3,0.8,0.268,2.41,23.6340265,,0.1502461,0.532,6.2866510490000005,3.7786894149999997,0.6010655570903788
band_C,9 mm steel,16,46.1,2.987,50.2,0.8,0.268,2.41,23.6340265,,0.1499474,0.532,6.2866510490000005,3.7636797400000006,0.5986780100668508
band_C,9 mm steel,17,46.1,2.987,50.3,0.8,0.268,2.41,23.6340265,,0.1502461,0.532,6.2866510490000005,3.7786894149999997,0.6010655570903788
band_C,9 mm steel,18,46.1,2.987,50.3,0.8,0.268,2.41,23.6340265,,0.1502461,0.532,6.2866510490000005,3.7786894149999997,0.6010655570903788
band_C,9 mm steel,19,46.1,2.987,50.2,0.8,0.268,2.41,23.6340265,,0.1499474,0.532,6.2866510490000005,3.7636797400000006,0.5986780100668508
band_C,9 mm steel,20,46.1,2.987,50.2,0.8,0.268,2.41,23.6340265,,0.1499474,0.532,6.2866510490000005,3.7636797400000006,0.5986780100668508
band_D,9 mm steel,1,46.1,2.987,50.5,0.8,0.273,4.09,40.1091985,,0.1508435,0.527,10.56877380475,3.8087983750000003,0.36038223973420497
band_D,9 mm steel,2,46.1,2.987,50.5,0.8,0.273,4.09,40.1091985,,0.1508435,0.527,10.56877380475,3.8087983750000003,0.36038223973420497
band_D,9 mm steel,3,46.1,2.987,50.5,0.8,0.273,4.09,40.1091985,,0.1508435,0.527,10.56877380475,3.8087983750000003,0.36038223973420497
band_D,9 mm steel,4,46.1,2.987,50.5,0.8,0.273,4.09,40.1091985,,0.1508435,0.527,10.56877380475,3.8087983750000003,0.36038223973420497
band_D,9 mm steel,5,46.1,2.987,50.4,0.8,0.273,4.09,40.1091985,,0.1505448,0.527,10.56877380475,3.7937289599999997,0.3589563964643615
band_D,9 mm steel,6,46.3,3.0,50.5,0.8,0.273,4.09,40.1091985,,0.1515,0.527,10.56877380475,3.825375,0.36195069273606123
band_D,9 mm steel,7,46.1,2.987,50.4,0.8,0.273,4.09,40.1091985,,0.1505448,0.527,10.56877380475,3.7937289599999997,0.3589563964643615
band_D,9 mm steel,8,46.1,2.987,50.5,0.8,0.273,4.09,40.1091985,,0.1508435,0.527,10.56877380475,3.8087983750000003,0.36038223973420497
band_D,9 mm steel,9,46.1,2.987,50.5,0.8,0.273,4.09,40.1091985,,0.1508435,0.527,10.56877380475,3.8087983750000003,0.36038223973420497
band_D,9 mm steel,10,46.1,2.987,50.5,0.8,0.273,4.09,40.1091985,,0.1508435,0.527,10.56877380475,3.8087983750000003,0.36038223973420497
band_D,9 mm steel,11,46.1,2.987,50.4,0.8,0.273,4.09,40.1091985,,0.1505448,0.527,10.56877380475,3.7937289599999997,0.3589563964643615
band_D,9 mm steel,12,46.1,2.987,50.5,0.8,0.273,4.09,40.1091985,,0.1508435,0.527,10.56877380475,3.8087983750000003,0.36038223973420497
band_D,9 mm steel,13,46.1,2.987,50.1,0.8,0.273,4.09,40.1091985,,0.1496487,0.527,10.56877380475,3.7486999350000003,0.354695824156554
band_D,9 mm steel,14,46.1,2.987,50.5,0.8,0.273,4.09,40.1091985,,0.1508435,0.527,10.56877380475,3.8087983750000003,0.36038223973420497
band_D,9 mm steel,15,46.1,2.987,50.4,0.8,0.273,4.09,40.1091985,,0.1505448,0.527,10.56877380475,3.7937289599999997,0.3589563964643615
band_D,9 mm steel,16,46.1,2.987,50.4,0.8,0.273,4.09,40.1091985,,0.1505448,0.527,10.56877380475,3.7937289599999997,0.3589563964643615
