band_type,pellet_type,trial_num,mass_gn,calc_mass_g,velocity_mps,draw_length_m,slack_length_m,draw_weight_kg,calc_draw_force_N,note,calc_momentum,calc_power_stroke_m,calc_PE,calc_KE,calc_efficiency
band_A,"1/2"" steel",1,129.2,8.372,24.0,0.8,0.268,1.08,10.591182,,0.200928,0.532,2.817254412,2.411136,0.8558460285765629
band_A,"1/2"" steel",2,129.2,8.372,24.2,0.8,0.268,1.08,10.591182,,0.2026024,0.532,2.817254412,2.45148904,0.8701695628048234
band_A,"1/2"" steel",3,129.0,8.359,24.1,0.8,0.268,1.08,10.591182,,0.20145190000000002,0.532,2.817254412,2.4274953950000002,0.8616528861078948
band_A,"1/2"" steel",4,129.0,8.359,24.2,0.8,0.268,1.08,10.591182,,0.2022878,0.532,2.817254412,2.44768238,0.868818367831524
band_A,"1/2"" steel",5,129.2,8.372,24.2,0.8,0.268,1.08,10.591182,,0.2026024,0.532,2.817254412,2.45148904,0.8701695628048234
band_A,"1/2"" steel",6,129.2,8.372,24.6,0.8,0.268,1.08,10.591182,,0.2059512,0.532,2.817254412,2.53319976,0.8991732337732514
band_A,"1/2"" steel",7,129.2,8.372,24.2,0.8,0.268,1.08,10.591182,,0.2026024,0.532,2.817254412,2.45148904,0.8701695628048234
band_A,"1/2"" steel",8,129.2,8.372,24.2,0.8,0.268,1.08,10.591182,,0.2026024,0.532,2.817254412,2.45148904,0.8701695628048234
band_A,"1/2"" steel",9,129.2,8.372,24.1,0.8,0.268,1.08,10.591182,,0.2017652,0.532,2.817254412,2.43127066,0.8629929372526971
band_A,"1/2"" steel",10,129.0,8.359,24.1,0.8,0.268,1.08,10.591182,,0.20145190000000002,0.532,2.817254412,2.4274953950000002,0.8616528861078948
band_A,"1/2"" steel",11,129.2,8.372,24.2,0.8,0.268,1.08,10.591182,,0.2026024,0.532,2.817254412,2.45148904,0.8701695628048234
band_A,"1/2"" steel",12,129.0,8.359,24.1,0.8,0.268,1.08,10.591182,,0.20145190000000002,0.532,2.817254412,2.4274953950000002,0.8616528861078948
band_A,"1/2"" steel",13,129.2,8.372,24.1,0.8,0.268,1.08,10.591182,,0.2017652,0.532,2.817254412,2.43127066,0.8629929372526971
band_A,"1/2"" steel",14,129.0,8.359,24.1,0.8,0.268,1.08,10.591182,,0.20145190000000002,0.532,2.817254412,2.4274953950000002,0.8616528861078948
band_A,"1/2"" steel",15,129.2,8.372,24.1,0.8,0.268,1.08,10.591182,,0.2017652,0.532,2.817254412,2.43127066,0.8629929372526971
band_A,"1/2"" steel",16,129.2,8.372,24.1,0.8,0.268,1.08,10.591182,,0.2017652,0.532,2.817254412,2.43127066,0.8629929372526971
band_A,"1/2"" steel",17,129.0,8.359,24.0,0.8,0.268,1.08,10.591182,,0.20061600000000002,0.532,2.817254412,2.407392,0.8545170751160404
band_A,"1/2"" steel",18,129.2,8.372,24.0,0.8,0.268,1.08,10.591182,,0.200928,0.532,2.817254412,2.411136,0.8558460285765629
band_A,"1/2"" steel",19,129.3,8.378,24.0,0.8,0.268,1.08,10.591182,,0.201072,0.532,2.817254412,2.412864,0.8564593917121887
band_A,"1/2"" steel",20,129.2,8.372,24.0,0.8,0.268,1.08,10.591182,,0.200928,0.532,2.817254412,2.411136,0.8558460285765629
band_B,"1/2"" steel",1,129.0,8.359,34.4,0.8,0.267,2.1,20.593965,,0.2875496,0.533,5.488291672500001,4.94585312,0.901164408732506
band_B,"1/2"" steel",2,129.0,8.359,34.0,0.8,0.267,2.1,20.593965,,0.284206,0.533,5.488291672500001,4.831502,0.8803289417377443
band_B,"1/2"" steel",3,129.2,8.372,34.0,0.8,0.267,2.1,20.593965,,0.28464799999999996,0.533,5.488291672500001,4.839016,0.8816980380701512
band_B,"1/2"" steel",4,129.0,8.359,34.0,0.8,0.267,2.1,20.593965,,0.284206,0.533,5.488291672500001,4.831502,0.8803289417377443
band_B,"1/2"" steel",5,129.3,8.378,34.0,0.8,0.267,2.1,20.593965,,0.284852,0.533,5.488291672500001,4.842484,0.8823299286851084
band_B,"1/2"" steel",6,129.0,8.359,33.9,0.8,0.267,2.1,20.593965,,0.2833701,0.533,5.488291672500001,4.8031231949999995,0.8751581515003745
band_B,"1/2"" steel",7,129.0,8.359,34.1,0.8,0.267,2.1,20.593965,,0.2850419,0.533,5.488291672500001,4.859964395,0.8855149625796422
band_B,"1/2"" steel",8,129.2,8.372,34.0,0.8,0.267,2.1,20.593965,,0.28464799999999996,0.533,5.488291672500001,4.839016,0.8816980380701512
band_B,"1/2"" steel",9,129.0,8.359,34.0,0.8,0.267,2.1,20.593965,,0.284206,0.533,5.488291672500001,4.831502,0.8803289417377443
band_B,"1/2"" steel",10,129.0,8.359,34.0,0.8,0.267,2.1,20.593965,,0.284206,0.533,5.488291672500001,4.831502,0.8803289417377443
band_B,"1/2"" steel",11,129.2,8.372,34.0,0.8,0.267,2.1,20.593965,,0.28464799999999996,0.533,5.488291672500001,4.839016,0.8816980380701512
band_B,"1/2"" steel",12,129.0,8.359,34.0,0.8,0.267,2.1,20.593965,,0.284206,0.533,5.488291672500001,4.831502,0.8803289417377443
band_B,"1/2"" steel",13,129.2,8.372,33.9,0.8,0.267,2.1,20.593965,,0.2838108,0.533,5.488291672500001,4.810593059999999,0.8765192061683376
band_B,"1/2"" steel",14,129.0,8.359,34.0,0.8,0.267,2.1,20.593965,,0.284206,0.533,5.488291672500001,4.831502,0.8803289417377443
band_B,"1/2"" steel",15,129.2,8.372,34.0,0.8,0.267,2.1,20.593965,,0.28464799999999996,0.533,5.488291672500001,4.839016,0.8816980380701512
band_B,"1/2"" steel",16,129.2,8.372,33.9,0.8,0.267,2.1,20.593965,,0.2838108,0.533,5.488291672500001,4.810593059999999,0.8765192061683376
band_B,"1/2"" steel",17,129.0,8.359,33.9,0.8,0.267,2.1,20.593965,,0.2833701,0.533,5.488291672500001,4.8031231949999995,0.8751581515003745
band_B,"1/2"" steel",18,129.2,8.372,33.9,0.8,0.267,2.1,20.593965,,0.2838108,0.533,5.488291672500001,4.810593059999999,0.8765192061683376
band_B,"1/2"" steel",19,129.2,8.372,33.8,0.8,0.267,2.1,20.593965,,0.28297359999999994,0.533,5.488291672500001,4.782253839999999,0.8713556285578403
band_B,"1/2"" steel",20,129.2,8.372,33.8,0.8,0.267,2.1,20.593965,,0.28297359999999994,0.533,5.488291672500001,4.782253839999999,0.8713556285578403
band_C,"1/2"" steel",1,129.0,8.359,35.9,0.8,0.269,2.42,23.732093,prior to band replacement,0.30008809999999997,0.531,6.3008706915,5.386581394999999,0.854894769109705
band_C,"1/2"" steel",2,129.2,8.372,35.6,0.8,0.269,2.42,23.732093,prior to band replacement,0.2980432,0.531,6.3008706915,5.3051689600000005,0.8419739461018901
band_C,"1/2"" steel",3,129.2,8.372,35.8,0.8,0.269,2.42,23.732093,prior to band replacement,0.2997176,0.531,6.3008706915,5.364945039999999,0.8514609016238688
band_C,"1/2"" steel",4,129.2,8.372,35.6,0.8,0.269,2.42,23.732093,prior to band replacement,0.2980432,0.531,6.3008706915,5.3051689600000005,0.8419739461018901
band_C,"1/2"" steel",5,129.2,8.372,35.6,0.8,0.269,2.42,23.732093,prior to band replacement,0.2980432,0.531,6.3008706915,5.3051689600000005,0.8419739461018901
band_C,"1/2"" steel",6,129.2,8.372,35.6,0.8,0.269,2.42,23.732093,prior to band replacement,0.2980432,0.531,6.3008706915,5.3051689600000005,0.8419739461018901
band_C,"1/2"" steel",7,129.2,8.372,35.6,0.8,0.269,2.42,23.732093,prior to band replacement,0.2980432,0.531,6.3008706915,5.3051689600000005,0.8419739461018901
band_C,"1/2"" steel",8,129.2,8.372,35.3,0.8,0.269,2.42,23.732093,prior to band replacement,0.29553159999999995,0.531,6.3008706915,5.216132739999998,0.82784316571306
band_C,"1/2"" steel",9,129.2,8.372,35.4,0.8,0.269,2.42,23.732093,prior to band replacement,0.2963688,0.531,6.3008706915,5.2457277599999985,0.8325401387901182
band_C,"1/2"" steel",10,129.2,8.372,35.5,0.8,0.269,2.42,23.732093,prior to band replacement,0.29720599999999997,0.531,6.3008706915,5.2754065,0.8372503989197284
band_C,"1/2"" steel",11,129.2,8.372,35.7,0.8,0.269,2.42,23.732093,prior to band replacement,0.2988804,0.531,6.3008706915,5.33501514,0.8467107803366036
band_C,"1/2"" steel",12,129.0,8.359,35.5,0.8,0.269,2.42,23.732093,prior to band replacement,0.2967445,0.531,6.3008706915,5.267214875,0.8359503206605362
band_C,"1/2"" steel",13,129.0,8.359,35.3,0.8,0.269,2.42,23.732093,"noticed a tear in the band. possibly due to a prior failure to load the pouch into the release-aid, which led to a misfire.",0.29507269999999997,0.531,6.3008706915,5.208033154999999,0.8265576949588473
band_C,"1/2"" steel",14,129.0,8.359,36.8,0.8,0.268,2.41,23.6340265,replaced the damaged band,0.3076112,0.532,6.2866510490000005,5.660046079999999,0.9003277000558709
band_C,"1/2"" steel",15,129.0,8.359,36.9,0.8,0.268,2.41,23.6340265,,0.3084471,0.532,6.2866510490000005,5.690848995,0.9052274335960203
band_C,"1/2"" steel",16,129.0,8.359,36.7,0.8,0.268,2.41,23.6340265,,0.30677530000000003,0.532,6.2866510490000005,5.629326755,0.8954412629432392
band_C,"1/2"" steel",17,129.2,8.372,36.6,0.8,0.268,2.41,23.6340265,,0.3064152,0.532,6.2866510490000005,5.60739816,0.891953142665991
band_C,"1/2"" steel",18,129.0,8.359,36.5,0.8,0.268,2.41,23.6340265,,0.3051035,0.532,6.2866510490000005,5.568138875,0.8857082780005274
