band_type,pellet_type,trial_num,mass_gn,calc_mass_g,velocity_mps,draw_length_m,slack_length_m,draw_weight_kg,calc_draw_force_N,note,calc_momentum,calc_power_stroke_m,calc_PE,calc_KE,calc_efficiency
band_A,rubber,1,9.4,0.609,48.2,0.8,0.268,1.08,10.591182,,0.0293538,0.532,2.817254412,0.70742658,0.25110496836449714
band_A,rubber,2,9.4,0.609,48.0,0.8,0.268,1.08,10.591182,,0.029231999999999998,0.532,2.817254412,0.701568,0.2490254330640835
band_A,rubber,3,9.6,0.622,48.2,0.8,0.268,1.08,10.591182,,0.029980400000000004,0.532,2.817254412,0.7225276400000001,0.25646517294370647
band_A,rubber,4,9.6,0.622,48.3,0.8,0.268,1.08,10.591182,,0.0300426,0.532,2.817254412,0.72552879,0.2575304476974584
band_A,rubber,5,9.4,0.609,48.1,0.8,0.268,1.08,10.591182,,0.029292899999999997,0.532,2.817254412,0.704494245,0.2500641198747371
band_A,rubber,6,9.4,0.609,48.0,0.8,0.268,1.08,10.591182,,0.029231999999999998,0.532,2.817254412,0.701568,0.2490254330640835
band_A,rubber,7,9.3,0.603,48.0,0.8,0.268,1.08,10.591182,,0.028944,0.532,2.817254412,0.694656,0.24657198052158025
band_A,rubber,8,9.4,0.609,48.1,0.8,0.268,1.08,10.591182,,0.029292899999999997,0.532,2.817254412,0.704494245,0.2500641198747371
band_A,rubber,9,9.4,0.609,48.0,0.8,0.268,1.08,10.591182,,0.029231999999999998,0.532,2.817254412,0.701568,0.2490254330640835
band_A,rubber,10,9.4,0.609,48.0,0.8,0.268,1.08,10.591182,,0.029231999999999998,0.532,2.817254412,0.701568,0.2490254330640835
band_A,rubber,11,9.4,0.609,48.1,0.8,0.268,1.08,10.591182,,0.029292899999999997,0.532,2.817254412,0.704494245,0.2500641198747371
band_A,rubber,12,9.4,0.609,48.0,0.8,0.268,1.08,10.591182,,0.029231999999999998,0.532,2.817254412,0.701568,0.2490254330640835
band_A,rubber,13,9.4,0.609,47.8,0.8,0.268,1.08,10.591182,,0.029110199999999996,0.532,2.817254412,0.6957337799999999,0.24695454448009568
band_A,rubber,14,9.4,0.609,48.0,0.8,0.268,1.08,10.591182,,0.029231999999999998,0.532,2.817254412,0.701568,0.2490254330640835
band_A,rubber,15,9.4,0.609,48.0,0.8,0.268,1.08,10.591182,,0.029231999999999998,0.532,2.817254412,0.701568,0.2490254330640835
band_A,rubber,16,9.6,0.622,48.0,0.8,0.268,1.08,10.591182,,0.029856,0.532,2.817254412,0.7165440000000001,0.254341246906174
band_A,rubber,17,9.6,0.622,48.0,0.8,0.268,1.08,10.591182,,0.029856,0.532,2.817254412,0.7165440000000001,0.254341246906174
band_A,rubber,18,9.4,0.609,48.0,0.8,0.268,1.08,10.591182,,0.029231999999999998,0.532,2.817254412,0.701568,0.2490254330640835
band_A,rubber,19,9.1,0.59,48.1,0.8,0.268,1.08,10.591182,,0.028378999999999998,0.532,2.817254412,0.68251495,0.24226244782609996
band_A,rubber,20,9.3,0.603,48.0,0.8,0.268,1.08,10.591182,,0.028944,0.532,2.817254412,0.694656,0.24657198052158025
band_B,rubber,1,9.6,0.622,54.9,0.8,0.267,2.1,20.593965,,0.0341478,0.533,5.488291672500001,0.93735711,0.1707921455225829
band_B,rubber,2,9.4,0.609,55.2,0.8,0.267,2.1,20.593965,,0.0336168,0.533,5.488291672500001,0.92782368,0.1690550968070839
band_B,rubber,3,9.3,0.603,55.1,0.8,0.267,2.1,20.593965,,0.0332253,0.533,5.488291672500001,0.9153570150000001,0.16678359490013056
band_B,rubber,4,9.4,0.609,55.0,0.8,0.267,2.1,20.593965,,0.033495,0.533,5.488291672500001,0.9211124999999999,0.16783227914350607
band_B,rubber,5,9.1,0.59,55.1,0.8,0.267,2.1,20.593965,,0.032508999999999996,0.533,5.488291672500001,0.8956229499999999,0.16318792867508625
band_B,rubber,6,9.1,0.59,55.0,0.8,0.267,2.1,20.593965,,0.03244999999999999,0.533,5.488291672500001,0.8923749999999999,0.1625961325035609
band_B,rubber,7,9.3,0.603,55.1,0.8,0.267,2.1,20.593965,,0.0332253,0.533,5.488291672500001,0.9153570150000001,0.16678359490013056
band_B,rubber,8,9.3,0.603,55.0,0.8,0.267,2.1,20.593965,,0.033165,0.533,5.488291672500001,0.9120375000000001,0.16617875915194447
band_B,rubber,9,9.0,0.583,55.0,0.8,0.267,2.1,20.593965,,0.032064999999999996,0.533,5.488291672500001,0.8817875,0.16066702584673898
band_B,rubber,10,9.3,0.603,55.0,0.8,0.267,2.1,20.593965,,0.033165,0.533,5.488291672500001,0.9120375000000001,0.16617875915194447
band_B,rubber,11,9.6,0.622,54.9,0.8,0.267,2.1,20.593965,,0.0341478,0.533,5.488291672500001,0.93735711,0.1707921455225829
band_B,rubber,12,9.4,0.609,55.0,0.8,0.267,2.1,20.593965,,0.033495,0.533,5.488291672500001,0.9211124999999999,0.16783227914350607
band_B,rubber,13,9.6,0.622,54.8,0.8,0.267,2.1,20.593965,,0.0340856,0.533,5.488291672500001,0.9339454399999999,0.17017051857496732
band_B,rubber,14,9.4,0.609,54.8,0.8,0.267,2.1,20.593965,,0.0333732,0.533,5.488291672500001,0.9144256799999998,0.16661390001954196
band_B,rubber,15,9.4,0.609,55.0,0.8,0.267,2.1,20.593965,,0.033495,0.533,5.488291672500001,0.9211124999999999,0.16783227914350607
band_B,rubber,16,9.4,0.609,55.0,0.8,0.267,2.1,20.593965,,0.033495,0.533,5.488291672500001,0.9211124999999999,0.16783227914350607
band_B,rubber,17,9.4,0.609,54.9,0.8,0.267,2.1,20.593965,,0.033434099999999994,0.533,5.488291672500001,0.9177660449999998,0.16722253476407228
band_B,rubber,18,9.4,0.609,54.8,0.8,0.267,2.1,20.593965,,0.0333732,0.533,5.488291672500001,0.9144256799999998,0.16661390001954196
band_B,rubber,19,9.4,0.609,54.8,0.8,0.267,2.1,20.593965,,0.0333732,0.533,5.488291672500001,0.9144256799999998,0.16661390001954196
band_B,rubber,20,9.4,0.609,54.8,0.8,0.267,2.1,20.593965,,0.0333732,0.533,5.488291672500001,0.9144256799999998,0.16661390001954196
band_C,rubber,1,9.4,0.609,58.2,0.8,0.268,2.41,23.6340265,,0.0354438,0.532,6.2866510490000005,1.03141458,0.16406423260347244
band_C,rubber,2,9.4,0.609,58.1,0.8,0.268,2.41,23.6340265,,0.035382899999999995,0.532,6.2866510490000005,1.0278732449999999,0.16350092234934857
band_C,rubber,3,9.3,0.603,57.8,0.8,0.268,2.41,23.6340265,,0.0348534,0.532,6.2866510490000005,1.00726326,0.16022254967694166
band_C,rubber,4,9.3,0.603,57.7,0.8,0.268,2.41,23.6340265,,0.0347931,0.532,6.2866510490000005,1.0037809350000002,0.15966862597848003
band_C,rubber,5,9.3,0.603,58.1,0.8,0.268,2.41,23.6340265,,0.035034300000000004,0.532,6.2866510490000005,1.0177464150000002,0.1618900758237393
band_C,rubber,6,9.1,0.59,58.0,0.8,0.268,2.41,23.6340265,,0.034219999999999993,0.532,6.2866510490000005,0.9923799999999998,0.15785511113390888
band_C,rubber,7,9.6,0.622,58.0,0.8,0.268,2.41,23.6340265,,0.036076000000000004,0.532,6.2866510490000005,1.0462040000000001,0.16641674428015482
band_C,rubber,8,9.4,0.609,58.0,0.8,0.268,2.41,23.6340265,,0.035322,0.532,6.2866510490000005,1.024338,0.1629385808144924
band_C,rubber,9,9.3,0.603,57.9,0.8,0.268,2.41,23.6340265,,0.0349137,0.532,6.2866510490000005,1.010751615,0.16077743255063875
band_C,rubber,10,9.4,0.609,58.0,0.8,0.268,2.41,23.6340265,,0.035322,0.532,6.2866510490000005,1.024338,0.1629385808144924
band_C,rubber,11,9.4,0.609,58.0,0.8,0.268,2.41,23.6340265,,0.035322,0.532,6.2866510490000005,1.024338,0.1629385808144924
band_C,rubber,12,9.3,0.603,57.6,0.8,0.268,2.41,23.6340265,,0.0347328,0.532,6.2866510490000005,1.0003046400000002,0.1591156614552538
band_C,rubber,13,9.4,0.609,58.0,0.8,0.268,2.41,23.6340265,,0.035322,0.532,6.2866510490000005,1.024338,0.1629385808144924
band_C,rubber,14,9.3,0.603,57.0,0.8,0.268,2.41,23.6340265,,0.034371,0.532,6.2866510490000005,0.9795735,0.1558180169958404
band_C,rubber,15,9.6,0.622,57.7,0.8,0.268,2.41,23.6340265,,0.0358894,0.532,6.2866510490000005,1.0354091900000002,0.16469964404413695
band_C,rubber,16,9.4,0.609,58.0,0.8,0.268,2.41,23.6340265,,0.035322,0.532,6.2866510490000005,1.024338,0.1629385808144924
band_C,rubber,17,9.4,0.609,57.7,0.8,0.268,2.41,23.6340265,,0.0351393,0.532,6.2866510490000005,1.013768805,0.16125736852552955
band_C,rubber,18,9.4,0.609,57.8,0.8,0.268,2.41,23.6340265,,0.035200199999999994,0.532,6.2866510490000005,1.01728578,0.16181680390258285
band_C,rubber,19,9.4,0.609,57.4,0.8,0.268,2.41,23.6340265,,0.0349566,0.532,6.2866510490000005,1.0032544199999998,0.1595848747099753
band_C,rubber,20,9.4,0.609,57.8,0.8,0.268,2.41,23.6340265,,0.035200199999999994,0.532,6.2866510490000005,1.01728578,0.16181680390258285
band_D,rubber,1,9.3,0.603,54.9,0.8,0.273,4.09,40.1091985,,0.0331047,0.527,10.56877380475,0.908724015,0.0859819721557089
band_D,rubber,2,9.4,0.609,54.6,0.8,0.273,4.09,40.1091985,,0.0332514,0.527,10.56877380475,0.90776322,0.08589106331256871
band_D,rubber,3,9.4,0.609,54.3,0.8,0.273,4.09,40.1091985,,0.03306869999999999,0.527,10.56877380475,0.8978152049999999,0.08494979849000915
band_D,rubber,4,9.4,0.609,54.1,0.8,0.273,4.09,40.1091985,,0.0329469,0.527,10.56877380475,0.8912136449999999,0.08432516973723625
band_D,rubber,5,9.4,0.609,54.6,0.8,0.273,4.09,40.1091985,,0.0332514,0.527,10.56877380475,0.90776322,0.08589106331256871
band_D,rubber,6,9.4,0.609,54.3,0.8,0.273,4.09,40.1091985,,0.03306869999999999,0.527,10.56877380475,0.8978152049999999,0.08494979849000915
band_D,rubber,7,9.3,0.603,54.3,0.8,0.273,4.09,40.1091985,,0.0327429,0.527,10.56877380475,0.888969735,0.08411285466252139
band_D,rubber,8,9.4,0.609,54.4,0.8,0.273,4.09,40.1091985,,0.033129599999999995,0.527,10.56877380475,0.9011251199999998,0.08526297720507564
band_D,rubber,9,9.4,0.609,54.2,0.8,0.273,4.09,40.1091985,,0.0330078,0.527,10.56877380475,0.8945113800000001,0.08463719600072937
band_D,rubber,10,9.4,0.609,54.3,0.8,0.273,4.09,40.1091985,,0.03306869999999999,0.527,10.56877380475,0.8978152049999999,0.08494979849000915
band_D,rubber,11,9.6,0.622,54.3,0.8,0.273,4.09,40.1091985,,0.0337746,0.527,10.56877380475,0.91698039,0.08676317678289934
band_D,rubber,12,9.3,0.603,53.9,0.8,0.273,4.09,40.1091985,,0.0325017,0.527,10.56877380475,0.8759208150000001,0.08287818730743662
band_D,rubber,13,9.3,0.603,54.2,0.8,0.273,4.09,40.1091985,,0.032682600000000006,0.527,10.56877380475,0.8856984600000001,0.08380333200072218
band_D,rubber,14,9.3,0.603,54.1,0.8,0.273,4.09,40.1091985,,0.0326223,0.527,10.56877380475,0.882433215,0.08349437988760831
band_D,rubber,15,9.3,0.603,54.1,0.8,0.273,4.09,40.1091985,,0.0326223,0.527,10.56877380475,0.882433215,0.08349437988760831
band_D,rubber,16,9.3,0.603,54.1,0.8,0.273,4.09,40.1091985,,0.0326223,0.527,10.56877380475,0.882433215,0.08349437988760831
band_D,rubber,17,9.4,0.609,54.0,0.8,0.273,4.09,40.1091985,,0.032886,0.527,10.56877380475,0.8879219999999999,0.08401371969952982
band_D,rubber,18,9.4,0.609,54.2,0.8,0.273,4.09,40.1091985,,0.0330078,0.527,10.56877380475,0.8945113800000001,0.08463719600072937
band_D,rubber,19,9.6,0.622,54.4,0.8,0.273,4.09,40.1091985,,0.0338368,0.527,10.56877380475,0.92036096,0.08708304075789336
band_D,rubber,20,9.4,0.609,54.2,0.8,0.273,4.09,40.1091985,,0.0330078,0.527,10.56877380475,0.8945113800000001,0.08463719600072937
band_E,rubber,1,9.4,0.609,53.6,0.8,0.27,5.38,52.759777,,0.032642399999999995,0.53,13.981340905000001,0.87481632,0.06257027319083168
band_E,rubber,2,9.4,0.609,53.5,0.8,0.27,5.38,52.759777,,0.0325815,0.53,13.981340905000001,0.8715551249999999,0.062337019812478404
band_E,rubber,3,9.4,0.609,53.6,0.8,0.27,5.38,52.759777,,0.032642399999999995,0.53,13.981340905000001,0.87481632,0.06257027319083168
band_E,rubber,4,9.3,0.603,53.8,0.8,0.27,5.38,52.759777,,0.0324414,0.53,13.981340905000001,0.8726736599999999,0.06241702179566444
band_E,rubber,5,9.4,0.609,53.7,0.8,0.27,5.38,52.759777,,0.0327033,0.53,13.981340905000001,0.878083605,0.06280396214972343
band_E,rubber,6,9.4,0.609,53.3,0.8,0.27,5.38,52.759777,,0.032459699999999994,0.53,13.981340905000001,0.8650510049999999,0.0618718197973873
band_E,rubber,7,9.6,0.622,53.4,0.8,0.27,5.38,52.759777,,0.0332148,0.53,13.981340905000001,0.8868351600000001,0.0634299074763888
band_E,rubber,8,9.6,0.622,53.6,0.8,0.27,5.38,52.759777,,0.033339200000000006,0.53,13.981340905000001,0.89349056,0.06390592762676077
band_E,rubber,9,9.6,0.622,53.4,0.8,0.27,5.38,52.759777,,0.0332148,0.53,13.981340905000001,0.8868351600000001,0.0634299074763888
band_E,rubber,10,9.6,0.622,53.7,0.8,0.27,5.38,52.759777,,0.033401400000000005,0.53,13.981340905000001,0.8968275900000002,0.06414460501991459
band_E,rubber,11,9.4,0.609,53.2,0.8,0.27,5.38,52.759777,,0.0323988,0.53,13.981340905000001,0.86180808,0.06163987316064946
band_E,rubber,12,9.4,0.609,53.1,0.8,0.27,5.38,52.759777,,0.032337899999999996,0.53,13.981340905000001,0.8585712449999999,0.06140836210445008
band_E,rubber,13,9.4,0.609,53.6,0.8,0.27,5.38,52.759777,,0.032642399999999995,0.53,13.981340905000001,0.87481632,0.06257027319083168
band_E,rubber,14,9.6,0.622,52.6,0.8,0.27,5.38,52.759777,,0.0327172,0.53,13.981340905000001,0.8604623600000001,0.06154362202070918
band_E,rubber,15,9.4,0.609,53.2,0.8,0.27,5.38,52.759777,,0.0323988,0.53,13.981340905000001,0.86180808,0.06163987316064946
band_E,rubber,16,9.4,0.609,52.5,0.8,0.27,5.38,52.759777,,0.031972499999999994,0.53,13.981340905000001,0.8392781249999999,0.060028442958561835
band_E,rubber,17,9.3,0.603,53.4,0.8,0.27,5.38,52.759777,,0.0322002,0.53,13.981340905000001,0.85974534,0.06149233795540585
band_E,rubber,18,9.3,0.603,53.5,0.8,0.27,5.38,52.759777,,0.032260500000000004,0.53,13.981340905000001,0.862968375,0.061722861981813607
band_E,rubber,19,9.3,0.603,53.5,0.8,0.27,5.38,52.759777,,0.032260500000000004,0.53,13.981340905000001,0.862968375,0.061722861981813607
band_E,rubber,20,9.4,0.609,53.3,0.8,0.27,5.38,52.759777,,0.032459699999999994,0.53,13.981340905000001,0.8650510049999999,0.0618718197973873
band_F,rubber,1,9.4,0.609,58.9,0.8,0.26,3.82,37.461403,,0.035870099999999995,0.54,10.11457881,1.0563744449999999,0.10444077453384339
band_F,rubber,2,9.3,0.603,58.9,0.8,0.26,3.82,37.461403,,0.0355167,0.54,10.11457881,1.045966815,0.10341180138572673
band_F,rubber,3,9.3,0.603,58.9,0.8,0.26,3.82,37.461403,,0.0355167,0.54,10.11457881,1.045966815,0.10341180138572673
band_F,rubber,4,9.3,0.603,58.9,0.8,0.26,3.82,37.461403,,0.0355167,0.54,10.11457881,1.045966815,0.10341180138572673
band_F,rubber,5,9.6,0.622,58.9,0.8,0.26,3.82,37.461403,,0.0366358,0.54,10.11457881,1.07892431,0.10667021635476288
band_F,rubber,6,9.4,0.609,58.9,0.8,0.26,3.82,37.461403,,0.035870099999999995,0.54,10.11457881,1.0563744449999999,0.10444077453384339
band_F,rubber,7,9.6,0.622,58.9,0.8,0.26,3.82,37.461403,,0.0366358,0.54,10.11457881,1.07892431,0.10667021635476288
band_F,rubber,8,9.4,0.609,59.0,0.8,0.26,3.82,37.461403,,0.035931,0.54,10.11457881,1.0599645,0.10479571318897064
band_F,rubber,9,9.4,0.609,59.0,0.8,0.26,3.82,37.461403,,0.035931,0.54,10.11457881,1.0599645,0.10479571318897064
